sentence,page,topic,similarity
15 「SHIFT 2023」の振り返り 68 リスクマネジメント 価を発揮するステージです。,3,絶滅リスク,0.339
"このEIIは、中長期の時間軸で、カーボンニュートラル社会の実現に資するビジネスを開発、 例えば、当社グループが手掛けるほとんど全てのビジネスに求められるGX（グリーントラン
推進することで、当社の次の収益の柱を構築することを意図したものです。",6,循環経済,0.336
"前中計においては、構造改革、財務健全性の維 業そのもの、つまり「ど真ん中」に、成長投資の約8割の投下資本を投入して、収益基盤を ることなく構成された44のSBUを、戦略上で親和性の高い9つの営業グループに編成しまし
持、下方耐性強化といった、全体としては、「守り」の強化に取り組んできましたが、ここから 拡大させ、利益成長を牽引する収益の柱を構築します。",6,健康と安全,0.3396
各ビジネスラインが自らの ヘルスケア、不動産などがあり、それぞれが当社グループ特有の強みを持っていて、競争優 跨いでビルトインしたSBU同士が連携することで、新たな連鎖価値を創出していきます。,6,健康と安全,0.3425
"過去もそうであったように、事業やビジネス 夢や志や生み出す価値を、全てのステークホルダーの皆様と分かち合い、未来を豊かさで満
注力します。",6,平等と機会,0.3075
中期経営計画2026はその たしていく、まさにEnriching lives and the world、それが私の社長としての誓いです。,6,生物および食料資源の汚染,0.3265
人員数（でS、tr1a0te名gi前c 後Buかsらin4e0ss0 名Unまitで）で、組す織。,7,種の個体数,0.3431
人員数（でS、tr1a0te名gi前c 後Buかsらin4e0ss0 名Unまitで）で、組す織。,7,労働時間,0.3184
"最初の30 撤退やバリュー実現による経営資源の回収を実行する一方、注力する事業に再配分してい
年間は、エネルギー関連の鋼管の輸出販売、加工、サプライチェーンマネジメント事業にお くキャピタルリサイクルを進めました。",8,生物および食料資源の汚染,0.3209
"最初の30 撤退やバリュー実現による経営資源の回収を実行する一方、注力する事業に再配分してい
年間は、エネルギー関連の鋼管の輸出販売、加工、サプライチェーンマネジメント事業にお くキャピタルリサイクルを進めました。",8,水の消費と取水,0.3943
"最初の30 撤退やバリュー実現による経営資源の回収を実行する一方、注力する事業に再配分してい
年間は、エネルギー関連の鋼管の輸出販売、加工、サプライチェーンマネジメント事業にお くキャピタルリサイクルを進めました。",8,海洋資源の採取と利用,0.4067
"それらと並行して、2021年4月には、エネルギーイノベーション・イニシアチブ（EII）を立ち 当社が過去から時代の変化を先取りし、ビジネスモデルを進化させ、成長してきたように、
上げ、次世代エネルギーソリューションの提供に向けた全社の取り組みを先導してきました。",8,エネルギー,0.3852
"それらと並行して、2021年4月には、エネルギーイノベーション・イニシアチブ（EII）を立ち 当社が過去から時代の変化を先取りし、ビジネスモデルを進化させ、成長してきたように、
上げ、次世代エネルギーソリューションの提供に向けた全社の取り組みを先導してきました。",8,健康と安全,0.3225
"このEIIは、中長期の時間軸で、カーボンニュートラル社会の実現に資するビジネスを開発、 例えば、当社グループが手掛けるほとんど全てのビジネスに求められるGX（グリーントラン
推進することで、当社の次の収益の柱を構築することを意図したものです。",8,循環経済,0.336
"前中計においては、構造改革、財務健全性の維 業そのもの、つまり「ど真ん中」に、成長投資の約8割の投下資本を投入して、収益基盤を ることなく構成された44のSBUを、戦略上で親和性の高い9つの営業グループに編成しまし
持、下方耐性強化といった、全体としては、「守り」の強化に取り組んできましたが、ここから 拡大させ、利益成長を牽引する収益の柱を構築します。",8,健康と安全,0.3396
各ビジネスラインが自らの ヘルスケア、不動産などがあり、それぞれが当社グループ特有の強みを持っていて、競争優 跨いでビルトインしたSBU同士が連携することで、新たな連鎖価値を創出していきます。,8,健康と安全,0.3425
"過去もそうであったように、事業やビジネス 夢や志や生み出す価値を、全てのステークホルダーの皆様と分かち合い、未来を豊かさで満
注力します。",8,平等と機会,0.3075
中期経営計画2026はその たしていく、まさにEnriching lives and the world、それが私の社長としての誓いです。,8,生物および食料資源の汚染,0.3265
人員数（でS、tr1a0te名gi前c 後Buかsらin4e0ss0 名Unまitで）で、組す織。,9,種の個体数,0.3431
人員数（でS、tr1a0te名gi前c 後Buかsらin4e0ss0 名Unまitで）で、組す織。,9,労働時間,0.3184
"負の影響の把握・是正に取 ホルダーの人権の尊重 針」に則った人権尊重の浸透・徹底
り組むとともに、ステークホルダーの安心・安全の実現を目指します。",12,健康と安全,0.3035
"（単体従業員数に占める割合）
実現する ● 良質な教育の提供による未来を担う人づくり ● 事業活動及び社会貢献活動を通じた未来を担う人材の育成 人的資本 知識・経験を持つ社員が当社グループの人財です。",13,児童労働,0.3012
"負の影響の把握・是正に取 ホルダーの人権の尊重 針」に則った人権尊重の浸透・徹底 広域な事業拠点と幅広い産業におけるプレゼンス
り組むとともに、ステークホルダーの安心・安全の実現を目指します。",13,健康と安全,0.3557
● 事業環境の変化に機敏に対応するためのグループ経営体制の整備 本の再生や持続的な利活用を行います。,13,気候変動への適応,0.3435
● 事業環境の変化に機敏に対応するためのグループ経営体制の整備 本の再生や持続的な利活用を行います。,13,循環経済,0.3099
"これは「時代の変化と積極的に 来約300年間、大自然との闘いの
りも、相手からの信用や事業の確 友の事業は、自分たちだけが利潤を 勢を表す言葉。",14,気候変動への適応,0.311
"これは「時代の変化と積極的に 来約300年間、大自然との闘いの
りも、相手からの信用や事業の確 友の事業は、自分たちだけが利潤を 勢を表す言葉。",14,生物および食料資源の汚染,0.3468
グローバルな企業グループを ● 良き企業市民として社会に貢献する。,14,企業文化,0.3025
"［企業文化］
● 円滑なコミュニケーションを通じ、チームワークと総合力を発揮する。",14,健康と安全,0.3158
"［企業文化］
● 円滑なコミュニケーションを通じ、チームワークと総合力を発揮する。",14,企業文化,0.4306
"これは「時代の変化と積極的に 来約300年間、大自然との闘いの
りも、相手からの信用や事業の確 友の事業は、自分たちだけが利潤を 勢を表す言葉。",15,気候変動への適応,0.311
"これは「時代の変化と積極的に 来約300年間、大自然との闘いの
りも、相手からの信用や事業の確 友の事業は、自分たちだけが利潤を 勢を表す言葉。",15,生物および食料資源の汚染,0.3468
グローバルな企業グループを ● 良き企業市民として社会に貢献する。,15,企業文化,0.3025
"［企業文化］
● 円滑なコミュニケーションを通じ、チームワークと総合力を発揮する。",15,健康と安全,0.3158
"［企業文化］
● 円滑なコミュニケーションを通じ、チームワークと総合力を発揮する。",15,企業文化,0.4306
"成長の実現に向けて、基盤となるものは前中計から取り組んできた「事 力度と、当社の競争優位や強みの発揮度を軸に4つのカテゴリーに分類された各SBU が、戦略分
キャッシュ・フローの黒字を確保し、財務健全性を維持しました。",17,健康と安全,0.3173
44のSBUにおける 各事業現場で培った デジタル・AIによる 集まる9つの営業グループを編成しました。,19,健康と安全,0.3273
