sentence,page,topic,similarity
"実際には、さまざまな要因の変化により大きく異なることがありえますことをご承
84 事業概況（二輪） 知おきください。",2,気候変動,0.3702
"実際には、さまざまな要因の変化により大きく異なることがありえますことをご承
84 事業概況（二輪） 知おきください。",2,気候変動への適応,0.3526
"これはカーボ 隅々まで現地に入り込み、人々の暮らしをよく観察し、もっ
ンニュートラル社会が求める環境負荷を抑える製品づくりと と深く考えることが重要です。",5,水の汚染,0.3398
"これはカーボ 隅々まで現地に入り込み、人々の暮らしをよく観察し、もっ
ンニュートラル社会が求める環境負荷を抑える製品づくりと と深く考えることが重要です。",5,生物および食料資源の汚染,0.3763
"これはカーボ 隅々まで現地に入り込み、人々の暮らしをよく観察し、もっ
ンニュートラル社会が求める環境負荷を抑える製品づくりと と深く考えることが重要です。",5,水の消費と取水,0.3209
"これはカーボ 隅々まで現地に入り込み、人々の暮らしをよく観察し、もっ
ンニュートラル社会が求める環境負荷を抑える製品づくりと と深く考えることが重要です。",5,健康と安全,0.3215
"こ 困りごとの解決を追求してきたからこそ、生き残り、成長す
れからも、生活を支える基盤として、車を含めた形で社会イ ることができたのです。",5,健康と安全,0.331
"100年以上の歴史の中で培われた社是や行動理念
言葉を借りて現場任せになっていましたが、座学やウェブ研 れに応えていくことが重要です。",6,水の消費と取水,0.3112
"それが「稼ぐ力」の源泉 出産や育児などのライフイベントも考慮しつつ、将来的には
となり、さらなる賃金アップにもつながっていきます。",6,生物および食料資源の汚染,0.3054
"それが「稼ぐ力」の源泉 出産や育児などのライフイベントも考慮しつつ、将来的には
となり、さらなる賃金アップにもつながっていきます。",6,健康と安全,0.358
"それが「稼ぐ力」の源泉 出産や育児などのライフイベントも考慮しつつ、将来的には
となり、さらなる賃金アップにもつながっていきます。",6,平等と機会,0.3155
"それが「稼ぐ力」の源泉 出産や育児などのライフイベントも考慮しつつ、将来的には
となり、さらなる賃金アップにもつながっていきます。",6,児童労働,0.3673
"また、日本人とインド人が密 インド進出の40年間は成長と失敗の表裏一体の歴史で
は人を大切にし、人の力をどう活かしたら企業の成長につ にコミュニケーションを取り、互いに補い合うことで、多様 した。",6,水の消費と取水,0.3738
"また、日本人とインド人が密 インド進出の40年間は成長と失敗の表裏一体の歴史で
は人を大切にし、人の力をどう活かしたら企業の成長につ にコミュニケーションを取り、互いに補い合うことで、多様 した。",6,健康と安全,0.3215
"また、日本人とインド人が密 インド進出の40年間は成長と失敗の表裏一体の歴史で
は人を大切にし、人の力をどう活かしたら企業の成長につ にコミュニケーションを取り、互いに補い合うことで、多様 した。",6,平等と機会,0.3062
"しかし、「あの部 設備や工場は資金があれば購入できますが、人財育成には
門はどのような業務をしているのか?」「この部門の業務はど 時間がかかります。",6,水の消費と取水,0.3063
"しかし、「あの部 設備や工場は資金があれば購入できますが、人財育成には
門はどのような業務をしているのか?」「この部門の業務はど 時間がかかります。",6,海洋資源の採取と利用,0.3033
"そのため、優秀な人財を集めスズキの
のようなスキルが必要なのか?」ということが組織として明確 文化や考え方をいかに理解してもらうかが鍵となります。",6,企業文化,0.3618
"これを人事制 インドの基盤を固めつつ、今後はアフリカにも同様のアプ
度の中で実現したいと考えています。",6,健康と安全,0.3165
