sentence,page,topic,similarity
"Clients First
私たちはお客様を第一に考えます。",3,非常に懸念の高い物質,0.3491
"Clients First
私たちはお客様を第一に考えます。",3,健康と安全,0.4131
"Clients First
私たちはお客様を第一に考えます。",3,児童労働,0.3391
"Clients First
私たちはお客様を第一に考えます。",3,プライバシー,0.3988
"Clients First
私たちはお客様を第一に考えます。",3,企業文化,0.307
"「Quality Growth」は利益を伴った成長を意味し
ラウド」の提供に向けた開発に着手しています。",8,健康と安全,0.3518
"もっとも、地
万人の睡眠データを取得し、世界最大規模の睡眠データの 省エネや再生可能エネルギーの導入を推進し、当初2050年 域によって人財の流動性は大きく異なります。",10,エネルギー,0.3426
"もっとも、地
万人の睡眠データを取得し、世界最大規模の睡眠データの 省エネや再生可能エネルギーの導入を推進し、当初2050年 域によって人財の流動性は大きく異なります。",10,生物および食料資源の汚染,0.4109
"もっとも、地
万人の睡眠データを取得し、世界最大規模の睡眠データの 省エネや再生可能エネルギーの導入を推進し、当初2050年 域によって人財の流動性は大きく異なります。",10,水の消費と取水,0.4406
"もっとも、地
万人の睡眠データを取得し、世界最大規模の睡眠データの 省エネや再生可能エネルギーの導入を推進し、当初2050年 域によって人財の流動性は大きく異なります。",10,海洋資源の使用,0.3373
"もっとも、地
万人の睡眠データを取得し、世界最大規模の睡眠データの 省エネや再生可能エネルギーの導入を推進し、当初2050年 域によって人財の流動性は大きく異なります。",10,海洋資源の採取と利用,0.4093
"私は「良い提案をしましょう」と言っていますが、良い提案
をつなげることで、より良いソリューションを提供し、社会の サーバの冷却技術も進化していくものと見ています。",10,水の消費と取水,0.3209
"私は「良い提案をしましょう」と言っていますが、良い提案
をつなげることで、より良いソリューションを提供し、社会の サーバの冷却技術も進化していくものと見ています。",10,健康と安全,0.3729
"新しい技術に触れ、どんなノウハウが足りて
め、事業を通じたサステナビリティ関連オファリングや様々な 財を確保することが不可欠です。",10,健康と安全,0.3204
"私たちは、これらの変革プロジェク
の中に統合し、One Companyになること、つまり一つの の業務を変革するような大型案件の創出を支援します。",13,気候変動への適応,0.3154
"私たちは、これらの変革プロジェク
の中に統合し、One Companyになること、つまり一つの の業務を変革するような大型案件の創出を支援します。",13,水の汚染,0.3167
"私たちは、これらの変革プロジェク
の中に統合し、One Companyになること、つまり一つの の業務を変革するような大型案件の創出を支援します。",13,マイクロプラスチック,0.3158
"私たちは、これらの変革プロジェク
の中に統合し、One Companyになること、つまり一つの の業務を変革するような大型案件の創出を支援します。",13,健康と安全,0.3498
"私たちは、これらの変革プロジェク
の中に統合し、One Companyになること、つまり一つの の業務を変革するような大型案件の創出を支援します。",13,児童労働,0.3227
"後に、私は責任を持ってこの会社と業界を変革することを約 2つ目は、現地のお客様と親密な関係を構築できる最適な
2つ目に優先すべきは、社員にとって最高の職場を提供す 束します。",13,空気の汚染,0.3051
"後に、私は責任を持ってこの会社と業界を変革することを約 2つ目は、現地のお客様と親密な関係を構築できる最適な
2つ目に優先すべきは、社員にとって最高の職場を提供す 束します。",13,労働条件,0.3247
"後に、私は責任を持ってこの会社と業界を変革することを約 2つ目は、現地のお客様と親密な関係を構築できる最適な
2つ目に優先すべきは、社員にとって最高の職場を提供す 束します。",13,健康と安全,0.3907
"業界で最も優秀な人財を採用し、惹きつけ、確 3つ目は、私たちの業界での地位が、これまでの歴史と継
保し続ける必要があります。",13,健康と安全,0.372
"業界で最も優秀な人財を採用し、惹きつけ、確 3つ目は、私たちの業界での地位が、これまでの歴史と継
保し続ける必要があります。",13,企業文化,0.3142
"現在、私たちは、29カ国と4地域 NTT DATA, Inc.のユニークな強み 続的なイノベーション推進能力の証しであることです。",13,エネルギー,0.3217
"現在、私たちは、29カ国と4地域 NTT DATA, Inc.のユニークな強み 続的なイノベーション推進能力の証しであることです。",13,健康と安全,0.335
"私 ン・エコシステム、すなわち、年間36億ドルに及ぶR&D、シリ
おいて将来性のある組織に変革したいと考えています。",13,生物および食料資源の汚染,0.3391
"私 ン・エコシステム、すなわち、年間36億ドルに及ぶR&D、シリ
おいて将来性のある組織に変革したいと考えています。",13,循環経済,0.3668
"私 ン・エコシステム、すなわち、年間36億ドルに及ぶR&D、シリ
おいて将来性のある組織に変革したいと考えています。",13,健康と安全,0.3022
"これらの強みは、私たちが事業運営に ナー等を活かすことで、新しいサービスを迅速に提供するこ
3つ目は、質の高い成長を促進すること、つまり利益率を高 おいて着実に投資し、築き上げたものです。",13,健康と安全,0.3465
"私たちは、責任を持って自身を変革し、お客様も変
ビスを開発するだけでなく、既存のサービスについても生成 なっていることです。",13,気候変動への適応,0.3054
"私たちは、責任を持って自身を変革し、お客様も変
ビスを開発するだけでなく、既存のサービスについても生成 なっていることです。",13,健康と安全,0.3591
"同時に、生成AIにおける全従業員15万人以上のスキ EBITA率10%確保と成長戦略
ながっており、すでに10+カ国*でトップ5に入っています。",14,健康と安全,0.3326
"の上位25%以内まで向上させることは、私たちの重要な2つ
新オペレーティングモデルに移行 の優先課題です。",14,水の汚染,0.311
"これらのシナジー効果は、2025年度の営業利益に 2. 1億ドル以上のTCVの大型案件において相当規模のシェ
に、5つのユニットに再編しました。",14,水の汚染,0.3035
"この勢いと確固たるパイプラインにより、今後も成功を タ、AI等の高成長サービスにポートフォリオをシフト
加えて、私たちが開始した特別な取り組みを2つご紹介し 続けられると確信しています。",14,健康と安全,0.3147
"システムやプロセスの簡素化、ソフ 私たちの今後の成長戦略は、インターネット以来の最大の
てのサステナビリティ」の両面で推進します。",14,健康と安全,0.3948
"これらの取り組みにより、私たちの競争力は強化さ されたプラットフォームやインフラ及びGPUを含む関連サー
れ、業績目標の達成に向けて前進しています。",14,健康と安全,0.3382
"加え ンや戦略と整合性を保ち、私たちを組織としての成功に導く
アセットやプラットフォームを急速に活用する必要がありま て、特にデータ分析、生成AI、セキュリティ、CX/デザイン等の 「One Company」文化を成立させることが重要です。",15,健康と安全,0.4212
"最も優秀な人財を惹きつけ、確保する為に する私たちの権限は、一連のメトリクスに基づいて明確に規
環として、すでに開始しています。",15,海洋資源の採取と利用,0.3083
