sentence,page,topic,similarity
"84-87 マテリアリティ4
なお、KDDIは、16.3期より国際財務報告基準（IFRS）を適用しています。",5,海洋資源の使用,0.3298
"商品だけではなく、エンターテインメントやヘルスケア、モビリティなど日常のあらゆる分野 していますが、人々の生活における通信の存在感は増して
で、個々のニーズに合わせてお客さまの体験を変革し、期待を超える感動とワクワクを届けていきます。",7,健康と安全,0.3736
業理念と目指す姿を、2030年に向けたビジョンとしたのが「KDDI VISION 2030」です。,7,水の汚染,0.3136
業理念と目指す姿を、2030年に向けたビジョンとしたのが「KDDI VISION 2030」です。,7,生物および食料資源の汚染,0.3247
業理念と目指す姿を、2030年に向けたビジョンとしたのが「KDDI VISION 2030」です。,7,水の消費と取水,0.3102
業理念と目指す姿を、2030年に向けたビジョンとしたのが「KDDI VISION 2030」です。,7,健康と安全,0.3527
"そして、通信を介して人と人の心を データで可視化し、シミュレーションすることで未来社会を予測し、その結果リアルの世界がより良いものになる好循環
つないでいきたい。",7,健康と安全,0.3654
"ローソンとの協業
3つ目は「For Future（未来人財・スタートアップ育成）」です。",8,水の汚染,0.332
"ローソンとの協業
3つ目は「For Future（未来人財・スタートアップ育成）」です。",8,生物および食料資源の汚染,0.3516
"ローソンとの協業
3つ目は「For Future（未来人財・スタートアップ育成）」です。",8,健康と安全,0.3823
"ローソンとの協業
3つ目は「For Future（未来人財・スタートアップ育成）」です。",8,平等と機会,0.3262
"ローソンとの協業
3つ目は「For Future（未来人財・スタートアップ育成）」です。",8,児童労働,0.3467
"スタートアップ企業だけでなく、未来を担う若い人た は、お客さまに当社を身近に感じてもらい、ワクワクする気持ちをお届けする新たな可能性が広がる投資と確信してい
ちの育成と支援を行います。",8,健康と安全,0.3099
"当社の強みである通信や新技術を活用するとともにパートナリングによってお客さま
新サテライトグロース戦略による事業成長 のライフスタイルの変革に挑戦することで、さらなる事業拡大を目指します。",13,健康と安全,0.3461
"（2）宇宙
また、「新サテライトグロース戦略」とあわせて、未来への取り組みを進めることで、KDDIVISION2030の実現を目指 スペースXとのパートナリングの深化により衛星通信の提供機能を拡張し「、空が見えれば、どこでもつながる」体験の実現を目指します。",13,空気の汚染,0.3173
"おそらく一時的または局所的な問題は発生すると思われますが、歴史が証明して 社会にもたらすリスクと機会
いる通り、メガトレンドとして世界はより良くなっていく確率が高いでしょう。",16,生物および食料資源の汚染,0.3335
