sentence,page,topic,similarity
"透明
組織の腐敗、 企業の衰退は不透明から始まる。",2,空気の汚染,0.302
"透明
組織の腐敗、 企業の衰退は不透明から始まる。",2,水の汚染,0.3296
"透明
組織の腐敗、 企業の衰退は不透明から始まる。",2,生物および食料資源の汚染,0.3577
"2. 自分や特定の個人・組織のために会社と取引するなど、会社と利害が対立したり、
そのように見える行為を行うこと。",3,平等と機会,0.3036
"4. 公務員またはこれに準ずる者に対し、その職務に関し金銭、贈物、接待その他の経
済的利益を供与すること。",3,適切な賃金,0.3878
"4. 公務員またはこれに準ずる者に対し、その職務に関し金銭、贈物、接待その他の経
済的利益を供与すること。",3,健康と安全,0.3052
"4. 公務員またはこれに準ずる者に対し、その職務に関し金銭、贈物、接待その他の経
済的利益を供与すること。",3,平等と機会,0.3115
"1959年には、サーボ技術の原点である電気・油
ファナックの歩み 圧パルスモータが完成し、NCビジネスの地位確立に貢献しました。",4,エネルギー,0.3081
"1959年には、サーボ技術の原点である電気・油
ファナックの歩み 圧パルスモータが完成し、NCビジネスの地位確立に貢献しました。",4,健康と安全,0.3706
"作業からの労働者解放による労働環境の改善や、長時間の安 加工性能、稼働率、使いやすさの追求によりお客様の生
定連続生産による商品品質の向上・安定化などに貢献します。",5,労働条件,0.3236
"作業からの労働者解放による労働環境の改善や、長時間の安 加工性能、稼働率、使いやすさの追求によりお客様の生
定連続生産による商品品質の向上・安定化などに貢献します。",5,労働時間,0.3729
"作業からの労働者解放による労働環境の改善や、長時間の安 加工性能、稼働率、使いやすさの追求によりお客様の生
定連続生産による商品品質の向上・安定化などに貢献します。",5,健康と安全,0.391
"作業からの労働者解放による労働環境の改善や、長時間の安 加工性能、稼働率、使いやすさの追求によりお客様の生
定連続生産による商品品質の向上・安定化などに貢献します。",5,児童労働,0.3715
"価値創造 プロフィール 価値創造 サステナビリティ データセクション
後、20年後、30年後に「工場の自動化」で勝ち残るためには、様々な可能性を検討するべきです。",12,健康と安全,0.3321
"現在一部で始まりつつある、農業なども工場で行うように 2023年3月期は、自動車関連をはじめとして製造業全般において設備投資が活発に行われまし
なってくることから、「工場の自動化」という市場分野は着実に拡大していくと予測しています。",12,健康と安全,0.3129
