sentence,page,topic,similarity
"https：//japan.jdpower.com/ja/awards
*3 J.D. パワー2023年法人向けネットワークサービス顧客満足度調査。",8,エネルギー,0.3716
"https：//japan.jdpower.com/ja/awards
*3 J.D. パワー2023年法人向けネットワークサービス顧客満足度調査。",8,水の消費と取水,0.321
"*5 生物多様性条約締結国会議（COP15）における国際目標「ネイチャーポジティブ」の採択、TNFDの最終提言が公表されるなど国際的
な重要性向上を評価し、2024年度から「生物多様性保全への貢献」を重要マテリアリティとして、創出価値を位置付けて管理します。",14,生物および食料資源の汚染,0.3355
"*5 生物多様性条約締結国会議（COP15）における国際目標「ネイチャーポジティブ」の採択、TNFDの最終提言が公表されるなど国際的
な重要性向上を評価し、2024年度から「生物多様性保全への貢献」を重要マテリアリティとして、創出価値を位置付けて管理します。",14,海洋資源の採取と利用,0.3139
"*5 生物多様性条約締結国会議（COP15）における国際目標「ネイチャーポジティブ」の採択、TNFDの最終提言が公表されるなど国際的
な重要性向上を評価し、2024年度から「生物多様性保全への貢献」を重要マテリアリティとして、創出価値を位置付けて管理します。",14,生物多様性の損失,0.3193
"*5 生物多様性条約締結国会議（COP15）における国際目標「ネイチャーポジティブ」の採択、TNFDの最終提言が公表されるなど国際的
な重要性向上を評価し、2024年度から「生物多様性保全への貢献」を重要マテリアリティとして、創出価値を位置付けて管理します。",14,健康と安全,0.3016
"この期間には、次世代社会インフラに必要な基盤 そして、第3フェーズにおいては、さらに事業を成長させるとともに、次世代社会インフラ基
シナジーを最大化するグループ構造 技術の特定や先端技術研究所の新設を行い、体制の強化を実施しました。",16,健康と安全,0.3442
"幸いなことに、スマートフォン契約数の純増が好調に推移したこと、ARPUの下 をセットで提供することで、2018年度から年平均成長率2桁での利益成長を続け、営業利益を
ソフトバンクの今 落幅が想定よりも早く縮小したことなどにより、2023年度から増収に転じることができました。",21,健康と安全,0.3132
"このサービスは、ユーザーから好評を得ているとともに、 社は、クラウド・セキュリティ・AIに強みを持つ企業ですので、今後のAIの社会実装に向けて、エン
ショップを運営してくれている代理店の収入増や、当社のARPU向上にも貢献しています。",21,健康と安全,0.3516
"この料金プランは、 IoTプラットフォームをグローバル展開するCubic Telecomの株式の51.0%（希薄化後）を761
「PayPay」と組み合わせることで無制限あるいは大容量のデータプランをおトクに使える料金プ 億円で取得し、子会社化しました。",21,健康と安全,0.3049
"自動車のEV化や自動運転化が進んでいくと、自動車をソフト
ランで、他社との差別化や「ワイモバイル」ブランドとの棲み分けに役立っています（ P35）。",21,健康と安全,0.3312
