sentence,page,topic,similarity
"データ集
© Renesas Electronics Corporation 2023年度統合報告書 6",6,エネルギー,0.3068
"•.当期の自動車部門の売上総利益率は52.3％で、製品ミックスの改善などにより、
社会（Social） 前年度に比べ2.0％増加しました。",10,動物福祉,0.3173
"（詳細はこちら） 載用SoCおよびマイクロコントローラ（MCU）を設計・テスト
時間を大幅に節約し、リスクを軽減できます。",12,マイクロプラスチック,0.3663
"（詳細はこちら） 載用SoCおよびマイクロコントローラ（MCU）を設計・テスト
時間を大幅に節約し、リスクを軽減できます。",12,健康と安全,0.3936
"為替変動に
社会（Social） スを高めることに貢献しています。",15,気候変動への適応,0.3557
"為替変動に
社会（Social） スを高めることに貢献しています。",15,気候変動の緩和,0.3125
"在庫管理や生産管理を行ってきた結果、大幅な過剰在庫や
執行役員.兼.CFO 売上の急激な減少はありません。",15,水の消費と取水,0.3511
"こ
ESGレーティングにおいて「AA」評価を初め 2年連続で最高評価を獲得しました。",28,空気の汚染,0.3061
"また、Reality.AIテクノロジーが「AI.
「SNAMサステナビリティ・インデックス」とは、 賞しました。",29,健康と安全,0.3458
"また、Reality.AIテクノロジーが「AI.
「SNAMサステナビリティ・インデックス」とは、 賞しました。",29,平等と機会,0.344
"EE.Awards.Asiaは、半導体およびエレク
金基金・機関投資家向けに、長期的な観点 提供などが高く評価されました。",29,平等と機会,0.301
"れる中、ルネサスは、環境への影響や事業効率にプラスの
環環境境（（EEnnvviirroonnmmeenntt）） 影響を与える機会を実感しています。",32,平等と機会,0.3369
"•.Renesas.Semiconductor.(Beijing).Co.,.Ltd.の2023年度における累計水使用の生産売上高原
評価の結果、当社の生産拠点のうち中国の2工場（北京、蘇州）が水リスクの高い地域に該当し 単位は、2021年度比33％の改善。",44,水の汚染,0.325
"•.Renesas.Semiconductor.(Beijing).Co.,.Ltd.の2023年度における累計水使用の生産売上高原
評価の結果、当社の生産拠点のうち中国の2工場（北京、蘇州）が水リスクの高い地域に該当し 単位は、2021年度比33％の改善。",44,水の消費と取水,0.3385
"尚、水ストレス（水需給の逼迫度）の高 •.Renesas.Semiconductor.(Suzhou).Co.,.Ltd.の同期間における累計水使用の生産売上高原単
い地域に該当している中国の2工場（北京、蘇州）の2023年度の使用量は計362,108ｍ3であり、 位は2021年度比30％の改善。",44,水の汚染,0.3348
"尚、水ストレス（水需給の逼迫度）の高 •.Renesas.Semiconductor.(Suzhou).Co.,.Ltd.の同期間における累計水使用の生産売上高原単
い地域に該当している中国の2工場（北京、蘇州）の2023年度の使用量は計362,108ｍ3であり、 位は2021年度比30％の改善。",44,水の消費と取水,0.4517
"本行動規範について、すべての重要取引先（64 域における水資源の保全および排水における安全対策として、廃水排出に関する流量やpHな
社）からの同意、賛同をいただくと共に、多くのサプライヤからも同意、賛同をいただいています。",46,水の汚染,0.318
"本行動規範について、すべての重要取引先（64 域における水資源の保全および排水における安全対策として、廃水排出に関する流量やpHな
社）からの同意、賛同をいただくと共に、多くのサプライヤからも同意、賛同をいただいています。",46,水の消費と取水,0.3852
"本行動規範について、すべての重要取引先（64 域における水資源の保全および排水における安全対策として、廃水排出に関する流量やpHな
社）からの同意、賛同をいただくと共に、多くのサプライヤからも同意、賛同をいただいています。",46,健康と安全,0.3484
"日本以外の廃棄物は、日本との比較において埋め立て処分（最終処分量）の割 16,000
合が多く、44％でした。",52,水の汚染,0.3015
"日本以外の廃棄物は、日本との比較において埋め立て処分（最終処分量）の割 16,000
合が多く、44％でした。",52,生物および食料資源の汚染,0.3058
"日本以外の廃棄物は、日本との比較において埋め立て処分（最終処分量）の割 16,000
合が多く、44％でした。",52,水の消費と取水,0.3433
".
※3：Safety.Data.Shee（t 安全データシート）とは、危険性または有害性のおそれがある化学物質を含む材料について、サプライヤから提供される対象化学物質等の性状や取り扱いに関する情報文書。",56,生物および食料資源の汚染,0.3766
".
※3：Safety.Data.Shee（t 安全データシート）とは、危険性または有害性のおそれがある化学物質を含む材料について、サプライヤから提供される対象化学物質等の性状や取り扱いに関する情報文書。",56,非常に懸念の高い物質,0.3372
".
※3：Safety.Data.Shee（t 安全データシート）とは、危険性または有害性のおそれがある化学物質を含む材料について、サプライヤから提供される対象化学物質等の性状や取り扱いに関する情報文書。",56,健康と安全,0.4234
"2023年度のルネサスの新製品開発に占めるルネサス.グリーンデバイ
りも資源（質量）、エネルギー（消費エネルギー）、化学物質（ルネサス使用削減物質の含有量） スの割合※1は96％、売上に占める同割合※2は系列製品を含め約60％でした。",57,生物および食料資源の汚染,0.3058
".
2023年度ハイライト の3つの項目において環境性能が優れているか否かを確認します。",57,空気の汚染,0.3151
".
2023年度ハイライト の3つの項目において環境性能が優れているか否かを確認します。",57,水の汚染,0.3069
".
2023年度ハイライト の3つの項目において環境性能が優れているか否かを確認します。",57,生物および食料資源の汚染,0.3182
"データ集
© Renesas Electronics Corporation 2023年度統合報告書 62",62,エネルギー,0.3037
"生物多様性保全への取り組みは、国内のみならず海外生産拠点においても積極的に推
当社では、持続可能な社会の実現に向け、地球環境の保全と人々の健やかな暮らしの調和を 進され、すべての指標において前年度に比べて評価が改善しました。",64,生物および食料資源の汚染,0.3461
"生物多様性保全への取り組みは、国内のみならず海外生産拠点においても積極的に推
当社では、持続可能な社会の実現に向け、地球環境の保全と人々の健やかな暮らしの調和を 進され、すべての指標において前年度に比べて評価が改善しました。",64,生物多様性の損失,0.3135
"生物多様性保全への取り組みは、国内のみならず海外生産拠点においても積極的に推
当社では、持続可能な社会の実現に向け、地球環境の保全と人々の健やかな暮らしの調和を 進され、すべての指標において前年度に比べて評価が改善しました。",64,健康と安全,0.3941
