sentence,page,topic,similarity
"互いに心を合わせ、助け合い、分かち合う関係
P.5 を築き、共に発展を遂げていく。",4,健康と安全,0.3131
"共に生きる（ ）ことをすべての
企業活動の基本に置き、豊かな調和をめざす。",4,健康と安全,0.3069
"また、デジタル化の進展や の進化による社会や産業構造
の高度化に伴い、社会課題の解決に資する事業の創出が求められています。",9,生物および食料資源の汚染,0.3009
"また、デジタル化の進展や の進化による社会や産業構造
の高度化に伴い、社会課題の解決に資する事業の創出が求められています。",9,健康と安全,0.405
"市場もテクノロジーも変 いう心の問題を説いている部分は時代が変わっても変える必要はありませんが、例えば「誰
化や進歩が目覚ましく、事業環境の変化は加速度的に速くなったと実感しています。",10,気候変動,0.4008
"市場もテクノロジーも変 いう心の問題を説いている部分は時代が変わっても変える必要はありませんが、例えば「誰
化や進歩が目覚ましく、事業環境の変化は加速度的に速くなったと実感しています。",10,気候変動への適応,0.3737
"市場もテクノロジーも変 いう心の問題を説いている部分は時代が変わっても変える必要はありませんが、例えば「誰
化や進歩が目覚ましく、事業環境の変化は加速度的に速くなったと実感しています。",10,気候変動の緩和,0.3173
"市場もテクノロジーも変 いう心の問題を説いている部分は時代が変わっても変える必要はありませんが、例えば「誰
化や進歩が目覚ましく、事業環境の変化は加速度的に速くなったと実感しています。",10,健康と安全,0.3122
"「 」は、水の使用量を極限まで削減することが可能になることに加
応は人類・社会が直面する最重要 え、従来、必要だった大型の前後処理機やスチーマーなどの設備機器も不要になります。",11,水の汚染,0.3064
"「 」は、水の使用量を極限まで削減することが可能になることに加
応は人類・社会が直面する最重要 え、従来、必要だった大型の前後処理機やスチーマーなどの設備機器も不要になります。",11,水の消費と取水,0.4106
"今後、サーキュラーエコノミーについて
した新たな電力サービスの創出に は他社とも連携し、横断的な取り組みを進めていく考えです。",11,エネルギー,0.3161
"今後、新規に建設する工場についてその技術を横展開し、既存工場では取り
働きやすい職場・現場づくりではさまざまな取り組みを進めていますが、その一つとして 入れられる部分を導入していく計画です。",12,健康と安全,0.3187
"私たちも、 を業務で活用していくことになりますし、ロボット化が進む工場では
善はまだ十分ではなく、若い人の中には少し閉塞感があると感じている人もいるようです。",12,健康と安全,0.3031
"私たちも、 を業務で活用していくことになりますし、ロボット化が進む工場では
善はまだ十分ではなく、若い人の中には少し閉塞感があると感じている人もいるようです。",12,児童労働,0.3777
"私たちも、 を業務で活用していくことになりますし、ロボット化が進む工場では
善はまだ十分ではなく、若い人の中には少し閉塞感があると感じている人もいるようです。",12,ロビー活動,0.321
"さらに新しい技術とも組み合わせることで、 技術
社会への新たな価値の提供や社会課題の解決につなげます。",18,健康と安全,0.3947
"さらに新しい技術とも組み合わせることで、 技術
社会への新たな価値の提供や社会課題の解決につなげます。",18,平等と機会,0.331
"管理できる システムにより、お客様のワークフロー、情報管理を最適化す
ることで、お客様の課題解決を図り事業を成長させていきます。",24,健康と安全,0.3439
"契約）で発生した余剰電力を活用した再生可能エネルギーの電力販売 調 達 企 太 電 業 陽 力 が 光 を 自 発 活 社 電 用 工 シ 場 ス に テ 設 ム 置 の し 余 た 剰 電 販 力 売 RE100
新規事業化構想の早期実現 事業を積極的に展開します。",24,エネルギー,0.303
"そのため、エネルギー消費量と 排出
水をまとい、水をまもる 量を大幅に削減することにも寄与します。",25,エネルギー,0.3685
"そのため、エネルギー消費量と 排出
水をまとい、水をまもる 量を大幅に削減することにも寄与します。",25,水の汚染,0.4357
"そのため、エネルギー消費量と 排出
水をまとい、水をまもる 量を大幅に削減することにも寄与します。",25,生物および食料資源の汚染,0.4036
"そのため、エネルギー消費量と 排出
水をまとい、水をまもる 量を大幅に削減することにも寄与します。",25,水の消費と取水,0.5949
"そのため、エネルギー消費量と 排出
水をまとい、水をまもる 量を大幅に削減することにも寄与します。",25,海洋資源の使用,0.323
"そのため、エネルギー消費量と 排出
水をまとい、水をまもる 量を大幅に削減することにも寄与します。",25,海洋資源の採取と利用,0.3793
"そのため、エネルギー消費量と 排出
水をまとい、水をまもる 量を大幅に削減することにも寄与します。",25,健康と安全,0.3305
"さらに、人工知能（ ）
他社 の導入加速で電力消費量が著しく増大します。",26,エネルギー,0.302
いる基金事業 KKYYOOCCEERRAA IINNTTEEGGRRAATTEEDD RREEPPOORRTT 22002244 2255,26,循環経済,0.3773
いる基金事業 KKYYOOCCEERRAA IINNTTEEGGRRAATTEEDD RREEPPOORRTT 22002244 2255,26,ロビー活動,0.3244
"機会探索・構想 コンピュータ機器およびその周辺の信号伝送を
そして新規事業の開発では 電気から光に変換する小型のモジュールです。",27,健康と安全,0.3473
IoT によ ンセプトを実現し、産業排水の大幅な低減を可能にします。,27,空気の汚染,0.3347
IoT によ ンセプトを実現し、産業排水の大幅な低減を可能にします。,27,水の汚染,0.3507
IoT によ ンセプトを実現し、産業排水の大幅な低減を可能にします。,27,生物および食料資源の汚染,0.3171
IoT によ ンセプトを実現し、産業排水の大幅な低減を可能にします。,27,水の消費と取水,0.3129
"境目標の設定による気候変動対策の実施や人権尊重の取り組みなど、社会課題を解決する そして対策結果について評価や改善手法の検討を行い、トップマネジメントが出席する委
さまざまな取り組みを積極的に推進しています。",31,気候変動への適応,0.32
"日として、同日最終の株主名簿に記録された株主様の所有する普通株式を、株につき 株
の割合をもって分割しました。",33,種の個体数,0.3255
食物アレルギーがあっても食事の機会や料理の 家族旅行や修学旅行先 事業を進める中で、正解はないことに気が付きました。,38,生物および食料資源の汚染,0.4221
食物アレルギーがあっても食事の機会や料理の 家族旅行や修学旅行先 事業を進める中で、正解はないことに気が付きました。,38,健康と安全,0.3023
"生物多様性に対する考え方 生物多様性保全への取り組み
私たち人類の暮らしは、さまざまな自然の恵みによって成り立っています。",46,気候変動への適応,0.3014
"生物多様性に対する考え方 生物多様性保全への取り組み
私たち人類の暮らしは、さまざまな自然の恵みによって成り立っています。",46,水の汚染,0.33
"生物多様性に対する考え方 生物多様性保全への取り組み
私たち人類の暮らしは、さまざまな自然の恵みによって成り立っています。",46,生物および食料資源の汚染,0.425
"生物多様性に対する考え方 生物多様性保全への取り組み
私たち人類の暮らしは、さまざまな自然の恵みによって成り立っています。",46,水の消費と取水,0.3633
"生物多様性に対する考え方 生物多様性保全への取り組み
私たち人類の暮らしは、さまざまな自然の恵みによって成り立っています。",46,海洋資源の使用,0.4044
"生物多様性に対する考え方 生物多様性保全への取り組み
私たち人類の暮らしは、さまざまな自然の恵みによって成り立っています。",46,海洋資源の採取と利用,0.3668
"生物多様性に対する考え方 生物多様性保全への取り組み
私たち人類の暮らしは、さまざまな自然の恵みによって成り立っています。",46,生物多様性の損失,0.5168
"生物多様性に対する考え方 生物多様性保全への取り組み
私たち人類の暮らしは、さまざまな自然の恵みによって成り立っています。",46,種の個体数,0.3347
"生物多様性に対する考え方 生物多様性保全への取り組み
私たち人類の暮らしは、さまざまな自然の恵みによって成り立っています。",46,健康と安全,0.3713
"生物多様性に対する考え方 生物多様性保全への取り組み
私たち人類の暮らしは、さまざまな自然の恵みによって成り立っています。",46,児童労働,0.3204
"生物多様性に対する考え方 生物多様性保全への取り組み
私たち人類の暮らしは、さまざまな自然の恵みによって成り立っています。",46,プライバシー,0.3473
"生物多様性に対する考え方 生物多様性保全への取り組み
私たち人類の暮らしは、さまざまな自然の恵みによって成り立っています。",46,文化的権利,0.3067
"生物多様性に対する考え方 生物多様性保全への取り組み
私たち人類の暮らしは、さまざまな自然の恵みによって成り立っています。",46,動物福祉,0.371
"2023 29 30
巻く状況は極めて深刻となっています。",46,非常に懸念の高い物質,0.3086
"また、 利用可能な社員相談窓口に加え、 年度より第三者相談窓口を設置し、プライバシーに
従業員へ向けた取り組みも充実させ、人権リスク防止および軽減を図っていきます。",50,平等と機会,0.3094
"社員相談窓口では、行動指針や法令などの違反（ハラスメントを含む）の相談・通報を受け
人権に関する教育・研修 付け、必要に応じて社内調査や是正対応を実施しています。",50,児童労働,0.3106
"そして急速な法規制の変化に対しても 京セラではコンプライアンスが現場に根差したものとなるよう、以下のような各種施策に
関係部門・海外グループ会社と連携を図っており、欧州の 京セラグループ リーガル・ 力を入れています。",55,気候変動への適応,0.324
"法務知的財産本部では、世界を つの地域に分け、各地域の統括会社がそ 社内への情報発信を充実させるため、デジタルツールを活用し、見やすく分かりやすい社
の地域内のグループ会社と連携して法的リスクを低減する体制を構築しています。",55,健康と安全,0.3116
"今後も法令改正や社会情勢の変化に合わせ、積極的に情報発
グループ会社とコンプライアンス活動をグローバルにより効率的に進め、問題が発生した 信することで、従業員のコンプライアンス意識の維持向上に努めます。",55,気候変動への適応,0.3416
"今後も法令改正や社会情勢の変化に合わせ、積極的に情報発
グループ会社とコンプライアンス活動をグローバルにより効率的に進め、問題が発生した 信することで、従業員のコンプライアンス意識の維持向上に努めます。",55,健康と安全,0.3578
"の物心両面の幸福を追求すると同時に、人類、社会の進歩
技術を磨きつつ、時代の変化や世界規模での社会課題に このような環境のもと、社会に影響を与えることができ 発展に貢献すること」を経営理念としています。",61,気候変動への適応,0.3387
"の物心両面の幸福を追求すると同時に、人類、社会の進歩
技術を磨きつつ、時代の変化や世界規模での社会課題に このような環境のもと、社会に影響を与えることができ 発展に貢献すること」を経営理念としています。",61,健康と安全,0.3486
"の物心両面の幸福を追求すると同時に、人類、社会の進歩
技術を磨きつつ、時代の変化や世界規模での社会課題に このような環境のもと、社会に影響を与えることができ 発展に貢献すること」を経営理念としています。",61,平等と機会,0.3353
"ビジネスの実態を適切に財務報 確に監査し、当社のコーポレート・ガバナンスの向上と健
外取締役として重要なテーマとしていきたいと思います。",61,健康と安全,0.3196
"新しいテクノロジーや新しい仕組みで何ができ、世 国際的な枠組みによるサステナビリティ開示基準の導入 務内容をできるだけ早期に把握できるように努め、取締
の中がどう変わっていくのか、私自身、アンテナを張り、 が予定されています。",61,健康と安全,0.3012
"経営効率や財務健全性の毀損につながるものではないかなどの基準に沿って検証し、総合
当社は、中長期的な企業価値向上に向けて、同社との戦略的連携を追求するとともに、当社 的な判断により行っています。",67,健康と安全,0.3192
"：外部から購入する電力や熱の使用に伴う間接排出 ※ 被災者人数／百万時間（休業日数は、厚生労働省の基準に従う）
KKYYOOCCEERRAA IINNTTEEGGRRAATTEEDD RREEPPOORRTT 22002244 6677",68,エネルギー,0.3184
"：外部から購入する電力や熱の使用に伴う間接排出 ※ 被災者人数／百万時間（休業日数は、厚生労働省の基準に従う）
KKYYOOCCEERRAA IINNTTEEGGRRAATTEEDD RREEPPOORRTT 22002244 6677",68,水の消費と取水,0.3162
"：外部から購入する電力や熱の使用に伴う間接排出 ※ 被災者人数／百万時間（休業日数は、厚生労働省の基準に従う）
KKYYOOCCEERRAA IINNTTEEGGRRAATTEEDD RREEPPOORRTT 22002244 6677",68,労働時間,0.309
