sentence,page,topic,similarity
"本レポートは、IFRS財団が提唱する「統合報告フレームワーク」や、経済産業省の「価値協創ガイダンス」を参照しつつ、ステークホル A A- A B B
ダーの皆さまとの対話を活かして、企画・制作を進めさせていただきました。",2,健康と安全,0.3301
"環境パフォーマンスデータ 豊田通商グループは、温室効果ガス排出量、エネルギー使用量、水使用量、廃棄物量について、
より詳細な情報は、当社コーポレートサイト「サステナビリティ」「投資家情報」ページをご参照ください。",2,水の消費と取水,0.3409
"送電・蓄電事業設備の竣工、ならびに米国での車載用電池工場 2000年時点の関連会社数は140社でしたが、現在では1,000
への追加投資等を実行し、しっかりと実力をつくり込めたと 社を超える規模に至っています。",5,水の消費と取水,0.3026
"めに私たちは存在し、何をすべきなのか」「世の中の、どんな 現在、経営トップである私のミッションのひとつは「変化を
取引の透明性を高め、事業の継続性を確保してきました。",6,健康と安全,0.3217
"企業存続の要諦は、やはり俊敏な変化への対応力と、
の機能を提供することで、お客さまが抱えているお困り事を解決 私たちがミッションに基づいた仕事に取り組むことで、会社・ 新たな需要を創造し続ける力ではないでしょうか。",6,気候変動への適応,0.3068
"そして当社には、トヨタグループのカイゼン文化が、価値観・
3月期までの間に当社の時価総額は約30倍に伸長しており、 接点のなかった部門において、新たなビジネスを創出すること そして、自分の仕事が会社にどう貢献しているのか、会社を通じ 行動原則の一部として根を張っています。",6,企業文化,0.3333
"価値を見直し、「組織は戦略に従う」という考えの下、2024年 付加価値を届けていくのかという本質を捉えて日々仕事をする 全ての仕事の入口である「安全」は、「人の命を大切にする
連続で過去最高益を大幅に更新することができました。",6,健康と安全,0.3143
"けていますが、お客さまに提供しているものの本質は、その商品 ションを理解し、自分の仕事に活かしていくことを期待してい ならず、取引先の工場への安全立ち合いにも参加し、現場の
かったこと等が業績にプラスの影響をもたらしたため、「追い風 ナーの皆さまを支える縁の下の力持ちの役割を担いながら、 ます。",6,健康と安全,0.3125
しかし私たちは、カーボンニュートラルとサーキュ に基づいたさまざまな人事施策を実施し、「個の力」のレベル の「前提条件」、ビジネスの対象そのものとなっています。,7,児童労働,0.3164
"2022年に
社会やお客さまにとって“Be the Right ONE（” 唯一無二、かけ ければなりません。",7,健康と安全,0.3063
"2022年に
社会やお客さまにとって“Be the Right ONE（” 唯一無二、かけ ければなりません。",7,平等と機会,0.3512
培ってきた事業の強みを発揮していくことで、“Be the Right ONE”の実現を追求し、さらなる飛躍的な成長を図っていきます。,14,健康と安全,0.3108
に先駆けて再エネ し、再エネ事業で 社化。,14,海洋資源の採取と利用,0.341
に先駆けて再エネ し、再エネ事業で 社化。,14,循環経済,0.3579
"2022年 リサイクルでペットボトル 当社は、1970年より時代に先駆けて、循環型静脈
処理事業を開始 より本格稼働を開始、 の国内循環に貢献 事業に取り組み、グローバルへ展開してきました。",14,海洋資源の採取と利用,0.3067
"2022年より生 て周辺事業のSC構築を実施 とともに、グローバルにサプライチェーン構築を
領域 援、サプライヤー 欠なリチウム資源 産開始、電池サプライ 推進しています。",14,海洋資源の採取と利用,0.3187
介護・福祉関連 イチェーン伸長 ライフデザインへ出資。,14,動物福祉,0.3319
"販売に関連する営業業務
Value 花の取り扱い開始 リカでモビリティ 買収し、アフリカ 社に資本参画。",14,海洋資源の採取と利用,0.332
"有する多種多様な金属素 物流を提供することで部品安定供 自動車販売の拡大を通じ、安全・ の一貫したサポート機能（機械
材用の加工・物流機能を 給、輸送コストの低減、納期短縮、 安心・快適なモビリティ社会を 据付）を提供し、事業を拡大。",14,健康と安全,0.3387
"新規事業の稼働開始、生産量の増加等による排出量増加の一方、省エネ活動 「挟まれ・巻き込まれ」等の重大災害につながり得る災害を中心に、体感メニュー
や新興国での自動車販売が増加したことにより、3期連続で過去最高益を更新 成長投資についても基盤事業の磨き上げと再生可能エネルギー等の重点分野 推進や再エネ設備導入によりCO2排出量を総量削減することができました。",15,エネルギー,0.303
"新規事業の稼働開始、生産量の増加等による排出量増加の一方、省エネ活動 「挟まれ・巻き込まれ」等の重大災害につながり得る災害を中心に、体感メニュー
や新興国での自動車販売が増加したことにより、3期連続で過去最高益を更新 成長投資についても基盤事業の磨き上げと再生可能エネルギー等の重点分野 推進や再エネ設備導入によりCO2排出量を総量削減することができました。",15,水の消費と取水,0.3191
"そして、CN・CEの
重点的に取り組む重点分野を設定し、戦略的に経営資源を集中させることで、“Be the Right ONE”な価値を社会とお客さまへ提供 リーディングプロバイダーとして、企業としての成長を通じて、社会課題の解決に貢献していきます。",18,健康と安全,0.3156
"そして、CN・CEの
重点的に取り組む重点分野を設定し、戦略的に経営資源を集中させることで、“Be the Right ONE”な価値を社会とお客さまへ提供 リーディングプロバイダーとして、企業としての成長を通じて、社会課題の解決に貢献していきます。",18,平等と機会,0.306
"議論の中で実行上の論点を 1カ月程度の期間でアイデアを目に見えるカタチにし、業務の
しました。",20,労働時間,0.3023
"したAIによる予測ができるようになり、価格の予測精度
価値向上）、2.0（新規ビジネス開発）の3つのカテゴリーに分類し、 *4 簡易なシステム開発ツールを使って社員自身がシステム開発を行うこと の向上を実現しました。",20,健康と安全,0.3063
"また一方、鉄鋼ビジネスは、温室効果ガス（Greenhouse Gas、以下GHG）排出量の削
減という大きな社会課題に直面しています。",23,空気の汚染,0.3679
"また一方、鉄鋼ビジネスは、温室効果ガス（Greenhouse Gas、以下GHG）排出量の削
減という大きな社会課題に直面しています。",23,水の汚染,0.3437
"また一方、鉄鋼ビジネスは、温室効果ガス（Greenhouse Gas、以下GHG）排出量の削
減という大きな社会課題に直面しています。",23,生物および食料資源の汚染,0.3183
