sentence,page,topic,similarity
「Ecosystem Engineers」とは、経済・環境・社会のすべての面で げていきます。,6,エネルギー,0.3711
「Ecosystem Engineers」とは、経済・環境・社会のすべての面で げていきます。,6,生物および食料資源の汚染,0.3004
「Ecosystem Engineers」とは、経済・環境・社会のすべての面で げていきます。,6,循環経済,0.3999
「Ecosystem Engineers」とは、経済・環境・社会のすべての面で げていきます。,6,健康と安全,0.3317
私たちは「Ecosystem Engineers」 のと信じています。,6,エネルギー,0.3607
私たちは「Ecosystem Engineers」 のと信じています。,6,空気の汚染,0.3209
私たちは「Ecosystem Engineers」 のと信じています。,6,水の汚染,0.3245
私たちは「Ecosystem Engineers」 のと信じています。,6,生物および食料資源の汚染,0.384
私たちは「Ecosystem Engineers」 のと信じています。,6,循環経済,0.3339
私たちは「Ecosystem Engineers」 のと信じています。,6,健康と安全,0.3945
"私は、人財である社員に対して、「Change Maker」であること、
ます。",8,気候変動,0.3043
"私は、人財である社員に対して、「Change Maker」であること、
ます。",8,労働時間,0.316
"2023年にはロンドン中心部シティにおいて、
超高層オフィスビル「8 Bishopsgate」（当社持分100%）が竣工しました。",14,空気の汚染,0.3244
"2023年にはロンドン中心部シティにおいて、
超高層オフィスビル「8 Bishopsgate」（当社持分100%）が竣工しました。",14,水の汚染,0.3117
"2023年にはロンドン中心部シティにおいて、
超高層オフィスビル「8 Bishopsgate」（当社持分100%）が竣工しました。",14,非常に懸念の高い物質,0.3074
"2023年にはロンドン中心部シティにおいて、
超高層オフィスビル「8 Bishopsgate」（当社持分100%）が竣工しました。",14,マイクロプラスチック,0.3322
"2023年にはロンドン中心部シティにおいて、
超高層オフィスビル「8 Bishopsgate」（当社持分100%）が竣工しました。",14,健康と安全,0.3268
"各軸において特に重要性が高いと評価した項目（みどり枠）を重要課題（マテリアリティ） 31 長期経営計画 2030の進(cid:7743)
と特定しました。",26,非常に懸念の高い物質,0.3247
"マーケット状況を踏まえた適切なタイミングでの売却を通じて、海外での投資 98 財務レビュー
日本国内においては、エネルギーコストや食料品のコストが上昇し、約30年 回収・売却益を実現していきます。",28,水の消費と取水,0.385
"「長期経営計画
10% EPS 200円の効率性指標を掲げています。",30,エネルギー,0.307
"「長期経営計画
10% EPS 200円の効率性指標を掲げています。",30,循環経済,0.309
"快適性を 07/3 08/3 09/3 10/3 11/3 12/3 13/3 14/3 15/3 16/3 17/3 18/3 19/3 20/3 21/3 22/3 23/3 24/3
地球環境 確保しながら、エネルギー効率を向上する建物を開発し、環境負荷低減に貢献します。",40,健康と安全,0.3073
"当社で
地球環境 は初となる「ZEB」の認証を取得しました。",43,土壌汚染,0.3153
"更に、近隣地域と連携を図りな
た独自の基準「チェックアイズ」による、設計から施工、完成までの全工程での品質管理 まち・サービス がら、つながり、助け合う防災まちづくりに取り組んでいます。",46,健康と安全,0.3098
"「The Green at Florham Park」において、発達障害
のある方が安心して生活できる環境を提供しています。",49,健康と安全,0.3681
"「The Green at Florham Park」において、発達障害
のある方が安心して生活できる環境を提供しています。",49,動物福祉,0.3366
