sentence,page,topic,similarity
"ソニーフィナンシャルグ も、クリエイターとともにエンタテインメントを創
ループ（SFG）については、独自の資⾦調達と成 造することに注力しています。",8,水の消費と取水,0.3162
"ソニーフィナンシャルグ も、クリエイターとともにエンタテインメントを創
ループ（SFG）については、独自の資⾦調達と成 造することに注力しています。",8,海洋資源の採取と利用,0.3101
"ソニーフィナンシャルグ も、クリエイターとともにエンタテインメントを創
ループ（SFG）については、独自の資⾦調達と成 造することに注力しています。",8,健康と安全,0.3472
"このカメラは、全ての画素を同時に読み 写体であるといったAuthenticity（真正性）を検
ジセンサーが支えています。",9,健康と安全,0.3024
クリエイティビティは「人」に宿り、 ポータブルデータトランスミッターによるリアルタ フィックスを生成するゲームエンジンです。,9,児童労働,0.3027
"ゲーム
CMOSイメージセンサーは、新たなエンタテイン 人は「今」という時間を生きています。",9,労働時間,0.3151
"長期視点が欠かせないサステナビリティにお 温室効果ガス（GHG）排出量削減、女性活躍推進 文化として定着しているだけでなく、各事業、各 クリエイティビティはコミュニティを生み出しま
いても、「世界を感動で満たす」ためには、私たち やAI倫理、アクセシビリティの向上などに取り組 社員が自律的に行動するうえでの礎になってい す。",10,エネルギー,0.3076
"長期視点が欠かせないサステナビリティにお 温室効果ガス（GHG）排出量削減、女性活躍推進 文化として定着しているだけでなく、各事業、各 クリエイティビティはコミュニティを生み出しま
いても、「世界を感動で満たす」ためには、私たち やAI倫理、アクセシビリティの向上などに取り組 社員が自律的に行動するうえでの礎になってい す。",10,企業文化,0.3187
"各事業では多様なクリエイターコミュニティが
が安心して暮らせる社会や健全な地球環境が前 んでいます。",10,健康と安全,0.4177
"さまざまなサステナビリティの課題の中で いう「Sony’s Sustainability Vision」を発表しま ことができており、ベクトルを共有しているから 「感動を創る」ことに貢献し、長期視点での価値
も、気候変動、DE&I、人権、サステナビリティに貢 した。",10,気候変動への適応,0.309
"さまざまなサステナビリティの課題の中で いう「Sony’s Sustainability Vision」を発表しま ことができており、ベクトルを共有しているから 「感動を創る」ことに貢献し、長期視点での価値
も、気候変動、DE&I、人権、サステナビリティに貢 した。",10,エネルギー,0.324
"さまざまなサステナビリティの課題の中で いう「Sony’s Sustainability Vision」を発表しま ことができており、ベクトルを共有しているから 「感動を創る」ことに貢献し、長期視点での価値
も、気候変動、DE&I、人権、サステナビリティに貢 した。",10,健康と安全,0.3339
また、2023年4月の社長 COO 兼 CFO就任にあ ル・スピンオフの実行に向けて準備を開始しました。,13,生物および食料資源の汚染,0.3071
また、2023年4月の社長 COO 兼 CFO就任にあ ル・スピンオフの実行に向けて準備を開始しました。,13,健康と安全,0.3028
"的な事業成長に向けて、引き続きIP取得やM&Aなどに取り組むもの
時に、日本のアニメやアーティストのグローバル展開も加速してい の、投資効率を重視し、戦略面においてもより厳選して行う方針です。",14,海洋資源の採取と利用,0.3065
"＊4 第四次および第五次中期経営計画における財務指標は、IFRSに基づいており、営業CFには、オペレーティング・リース債務の元本部分の支払、およびコンテンツ資産の購入・売却に関する会計基準の相違による
影響が含まれます。",14,生物および食料資源の汚染,0.3663
"＊4 第四次および第五次中期経営計画における財務指標は、IFRSに基づいており、営業CFには、オペレーティング・リース債務の元本部分の支払、およびコンテンツ資産の購入・売却に関する会計基準の相違による
影響が含まれます。",14,水の消費と取水,0.3604
