sentence,page,topic,similarity
"に加え、人と社
これまでの自動車産業の発展によって、移動がより手軽になり、人と人、 会に対するイマジネーションが大切になります。",3,健康と安全,0.3739
"に加え、人と社
これまでの自動車産業の発展によって、移動がより手軽になり、人と人、 会に対するイマジネーションが大切になります。",3,平等と機会,0.3114
"「幸せを量産する」ために、そして「未来をもっ 長期的な視点にたち、私たちトヨタの活動をお支えいただ
と良くする」ために生まれた会社だと思っております。",4,健康と安全,0.3327
"だか サステナビリティの観点やエネルギーの特性を踏まえる
原点に立ち返って「商品と地域を軸にした経営」に長年取 らこそ、スピードを上げて実践の量を増やしてまいります。",5,エネルギー,0.3388
"だか サステナビリティの観点やエネルギーの特性を踏まえる
原点に立ち返って「商品と地域を軸にした経営」に長年取 らこそ、スピードを上げて実践の量を増やしてまいります。",5,水の消費と取水,0.3076
"だか サステナビリティの観点やエネルギーの特性を踏まえる
原点に立ち返って「商品と地域を軸にした経営」に長年取 らこそ、スピードを上げて実践の量を増やしてまいります。",5,健康と安全,0.3105
私たちは理解し、 数字が伸びれば、たくさんの人たちから褒められ 方々にご迷惑をおかけしました。,8,水の汚染,0.3179
私たちは理解し、 数字が伸びれば、たくさんの人たちから褒められ 方々にご迷惑をおかけしました。,8,水の消費と取水,0.3113
"代だからこそ、子どもたちのために、自分以外の誰
るところまで立て直してまいりましたが、まだま (cid:514) 誰かを思い、力を尽くそう。",9,児童労働,0.3597
です (cid:514) 仲間を信じ、支えあおう。,9,健康と安全,0.3055
"道も 企業におけるガバナンスとは、健全な企業経営を 最初は私から相当強い言葉を受けるのではない
グループビジョン策定に込めた想いを語った “road”ではなく“path”にしています。",10,健康と安全,0.3596
"メディアの方からは「何を言っているかわか きるようにしてきたことであり、それが私流のガ
問が相次ぎました。",10,マイクロプラスチック,0.326
"メディアの方からは「何を言っているかわか きるようにしてきたことであり、それが私流のガ
問が相次ぎました。",10,プライバシー,0.3206
"というより、私がやってきたことに近いような気
ですが、働くクルマ、コモディティのようなクル がします。",10,労働時間,0.3086
その制度に不正を働い あったかと思うが、一連の不正はどれぐらい れを崩しながら、社長時代の14年間で得た仲間 全部に出席します。,11,空気の汚染,0.319
その制度に不正を働い あったかと思うが、一連の不正はどれぐらい れを崩しながら、社長時代の14年間で得た仲間 全部に出席します。,11,水の汚染,0.3083
"ただ、それでも、何かにチャレンジしていく際に、 例えば、日野の場合は私が知って1年を超えてか
「この会社にいてよかったな」と思える変革に 問題は起こってくると思います。",12,空気の汚染,0.3145
"ただ、それでも、何かにチャレンジしていく際に、 例えば、日野の場合は私が知って1年を超えてか
「この会社にいてよかったな」と思える変革に 問題は起こってくると思います。",12,水の汚染,0.3006
"ただ、それでも、何かにチャレンジしていく際に、 例えば、日野の場合は私が知って1年を超えてか
「この会社にいてよかったな」と思える変革に 問題は起こってくると思います。",12,労働条件,0.3033
"人の話を聞いたりして、ビジョンをベースに、何 14年前に公聴会に行ったとき、私はトヨタの社長
会社のダイハツの不正に関しては、会長が が異常か探りながらやっていこうと思います。",12,空気の汚染,0.3358
"人の話を聞いたりして、ビジョンをベースに、何 14年前に公聴会に行ったとき、私はトヨタの社長
会社のダイハツの不正に関しては、会長が が異常か探りながらやっていこうと思います。",12,水の汚染,0.3082
"人の話を聞いたりして、ビジョンをベースに、何 14年前に公聴会に行ったとき、私はトヨタの社長
会社のダイハツの不正に関しては、会長が が異常か探りながらやっていこうと思います。",12,水の消費と取水,0.3012
"人の話を聞いたりして、ビジョンをベースに、何 14年前に公聴会に行ったとき、私はトヨタの社長
会社のダイハツの不正に関しては、会長が が異常か探りながらやっていこうと思います。",12,健康と安全,0.3059
"人の話を聞いたりして、ビジョンをベースに、何 14年前に公聴会に行ったとき、私はトヨタの社長
会社のダイハツの不正に関しては、会長が が異常か探りながらやっていこうと思います。",12,平等と機会,0.3143
"しかし
「織機」は、その後20年以上にわたり開発・改良 質を画期的に向上させました。",15,生物および食料資源の汚染,0.338
"しかし
「織機」は、その後20年以上にわたり開発・改良 質を画期的に向上させました。",15,健康と安全,0.3609
"これからは、モノづくりへの徹底したこだわりに加え、人と社
これまでの自動車産業の発展によって、移動がより手軽になり、人と人、 会に対するイマジネーションが大切になります。",16,健康と安全,0.3197
"イマジネーションはモノづくりを鍛え、モノづくりは新たな
しかし、この世から、不便と不可能を一つでも多く取り除くために、移動 イマジネーションを呼び起こします。",16,生物および食料資源の汚染,0.3053
"そうした時に、どの車種が来ても、どのス
んが機織り仕事をしていた…、その仕事を楽にできな 異常がなにか？",17,労働時間,0.3464
"“1人工”（ いちにんく）とは、1人の作業者が1日にこなす これを一番分かりやすくする“道具”というか、“考え
して現れたのは会長の豊田だった。",17,労働時間,0.3017
時の自動織機というのは、必ず “ワンマン、ワンマシ ことのできる仕事量を指している。,17,労働時間,0.3903
"“人は機 1日24時間というのは、誰に対してもイコールに与え トヨタでは次の工程のことを後工程（あとこうてい）と
られた条件です。",17,労働時間,0.3455
"そうだったら、意 ここで会長の豊田が言った“ジャスト・イン・タイム”は
“異常”が、いつ起きるか分からないからです。",17,労働時間,0.3201
"じゃあ「リードタイムを
ちょっと縮めておきたいなということで、そこだけは ところが、現場は綿ボコリが出ているので、現場の作 ジャスト・イン・タイムと聞くと何を考えます？",17,労働時間,0.3245
"の後も3戦、レースのたびに車を強く、速く、改善 現場ではいろいろな部署が自分の専門領域での
し続けてくれました。",20,健康と安全,0.3688
もっといいクルマづくり」の原点だと思っており 発想を逆転し最初にレースカーをつくる挑戦が 私には私の「いいクルマ」があります。,20,健康と安全,0.3329
"運転も本当に大 TGR-WRTは、トヨタが2017年にFIA世界
ンピオンの偉業を成し遂げてくれました。",21,空気の汚染,0.306
"運転も本当に大 TGR-WRTは、トヨタが2017年にFIA世界
ンピオンの偉業を成し遂げてくれました。",21,水の汚染,0.3104
"運転も本当に大 TGR-WRTは、トヨタが2017年にFIA世界
ンピオンの偉業を成し遂げてくれました。",21,生物および食料資源の汚染,0.3118
