sentence,page,topic,similarity
* 出典：IEA「The Future of Cooling」より当社推計。,2,エネルギー,0.3463
"ながるソリューション事業の推進」「空気価値の創造」を軸に、重点戦
成果を出し続けるために、時代の変化を見極め、やるべきことを決 略テーマの実践を徹底しています。",7,気候変動への適応,0.3379
"とりわけ、欧州のヒートポンプ暖房・
当社グループにおいて、この実行力を支えているのは「フラット&ス 給湯や、米国における住宅用ユニタリーの需要が低迷しました。",7,水の消費と取水,0.3404
"経営陣と現場との距離が近く、一体感のある組 した事業環境の変化に対して迅速かつ柔軟に手を打ったほか、グルー
織運営を心掛けてきました。",7,気候変動への適応,0.3256
"燃焼暖房からヒートポンプ暖房への切り替えに対する補助金の 扱えるような体制を整備することに加え、暖房機器店の開発も必要で ためらう一因となっているため、工事の省工程化による工事費の低減
縮小やガス価格の下落により、ヒートポンプ暖房・給湯需要の伸びが す。",8,水の消費と取水,0.3235
"道半ばではありますが、空気環境との相関が高い症状
ざす時代の大きな流れをチャンスと捉え、グローバルトップの総合空 事業の強化を図り、収益力向上にもつなげていきます。",8,空気の汚染,0.3335
"残りの5都市も2025年3月期までに体制を構築し、
販売・サービスのすべてを自前で行い、売上を伸ばしてスケールメリット ソリューション比率を大きく伸ばすことで、収益性を高めていく計画です。",9,健康と安全,0.3031
"しかし、急増する需要を捉えて大量に生産するこ 導体、自動車、通信、医療、エネルギー、空調／冷凍などの先端産業を
とや電子回路の改良によりコストを下げると同時に、ローコストオペレー 支えています。",10,気候変動への適応,0.3138
"しかし、急増する需要を捉えて大量に生産するこ 導体、自動車、通信、医療、エネルギー、空調／冷凍などの先端産業を
とや電子回路の改良によりコストを下げると同時に、ローコストオペレー 支えています。",10,エネルギー,0.3214
"しかし、急増する需要を捉えて大量に生産するこ 導体、自動車、通信、医療、エネルギー、空調／冷凍などの先端産業を
とや電子回路の改良によりコストを下げると同時に、ローコストオペレー 支えています。",10,水の消費と取水,0.3246
"しかし、急増する需要を捉えて大量に生産するこ 導体、自動車、通信、医療、エネルギー、空調／冷凍などの先端産業を
とや電子回路の改良によりコストを下げると同時に、ローコストオペレー 支えています。",10,健康と安全,0.3554
"そのために、解決すべき課題、テー されていない影響で、生産地で半分以上の農作物や畜産品を腐らせ
マを検討しています。",11,生物および食料資源の汚染,0.3512
