sentence,page,topic,similarity
"＊ MSCI指数への株式会社オリエンタルランドの組み入れ、および本ウェブサイトにおけるMSCIのロゴ、商標、サービスマークまたは指数名称の使用は、MSCIまたは関連会社による
株式会社オリエンタルランドへの後援、推奨、広告宣伝ではありません。",1,健康と安全,0.3131
"今号の表紙を飾る社員は、「東京ディズニーリゾート40周年イベント プロジェクトチーム」の
各部メンバーです。",2,労働時間,0.3048
"6 調和と共生
創業以来、一貫して受け継がれてきた理念は「すばらしい人間とその世界」「絶えることのない人間賛歌の聞こえる広場をめざして」です。",3,健康と安全,0.3338
"6 調和と共生
創業以来、一貫して受け継がれてきた理念は「すばらしい人間とその世界」「絶えることのない人間賛歌の聞こえる広場をめざして」です。",3,平等と機会,0.312
"ゲストの笑顔と歓声であふれた「夢と魔法の王国」の幕開け ここにしかないデスティネーション・アーバンリゾートに創り上げる と長期持続的な事業成長のため、よりサステナブルな経営を目指
とに設立されました。",3,健康と安全,0.3166
"2022年2月に2つのパークを合わせて累計8億人のゲスト そして、ゲストや従業員の子どもや孫世代、さらにその先 地面に水でディズニーキャラクターを描くサプライズサー
をお迎えするに至りました。",4,水の汚染,0.3477
"2022年2月に2つのパークを合わせて累計8億人のゲスト そして、ゲストや従業員の子どもや孫世代、さらにその先 地面に水でディズニーキャラクターを描くサプライズサー
をお迎えするに至りました。",4,水の消費と取水,0.3145
"アトラクショ 多くのゲストが、カチューシャやぬいぐるみなどを身に着け
作り出す魅力的な空間 ンやエンターテイメントのほか、バラエティに富む商品やフー たり持ち運んだりして楽しんでいます。",4,非常に懸念の高い物質,0.341
"＊1 営業キャッシュ・フロー=親会社株主に帰属する当期純利益（純損失）＋減価償却費
＊2 2019年度、2020年度の減価償却費の数値は、特別損失に計上した減価償却費が含まれています。",6,適切な賃金,0.3026
1株当たり年間配当額は、株式 ＊1 OLCグループの事業活動を領域として算出した数値です。,6,労働時間,0.3498
"ブランド価値を高める道筋は、サステナビリティ経営とともにある
私は、当社グループのブランド価値を高めていく道筋 だと認識しています。",7,健康と安全,0.3149
"環境分野で選定している「気候変動・自然災害への対応」
グループが40年以上にわたるディズニー社との信頼関係 言葉です。",7,気候変動への適応,0.3501
パークを訪 プロジェクト進行の是非に関する議論もありましたが、 でいけるように努めていきます。,7,ロビー活動,0.3095
"の全従業員が「この先、本当に大丈夫なのだろうか」と 染症流行下で苦労していた時期に「自分たちができる
世の中では、日々、新たなエンターテイメントが現れ 大きな不安を抱えていたと思います。",8,気候変動,0.301
"の全従業員が「この先、本当に大丈夫なのだろうか」と 染症流行下で苦労していた時期に「自分たちができる
世の中では、日々、新たなエンターテイメントが現れ 大きな不安を抱えていたと思います。",8,労働条件,0.3056
"の全従業員が「この先、本当に大丈夫なのだろうか」と 染症流行下で苦労していた時期に「自分たちができる
世の中では、日々、新たなエンターテイメントが現れ 大きな不安を抱えていたと思います。",8,労働時間,0.3283
"の全従業員が「この先、本当に大丈夫なのだろうか」と 染症流行下で苦労していた時期に「自分たちができる
世の中では、日々、新たなエンターテイメントが現れ 大きな不安を抱えていたと思います。",8,健康と安全,0.3333
"られる存在でありたい、という私たちの企業姿勢であり、 クホルダーである子どもに関わる社会課題に向き合い ジ
2つ目の課題は、「選択肢の提供」です。",9,労働条件,0.306
"られる存在でありたい、という私たちの企業姿勢であり、 クホルダーである子どもに関わる社会課題に向き合い ジ
2つ目の課題は、「選択肢の提供」です。",9,健康と安全,0.3038
"られる存在でありたい、という私たちの企業姿勢であり、 クホルダーである子どもに関わる社会課題に向き合い ジ
2つ目の課題は、「選択肢の提供」です。",9,平等と機会,0.324
"られる存在でありたい、という私たちの企業姿勢であり、 クホルダーである子どもに関わる社会課題に向き合い ジ
2つ目の課題は、「選択肢の提供」です。",9,児童労働,0.3984
これを2030年度 開催しましたが、話題提起はせず、子育てと仕事の両立 業そのものが大きなチャレンジでした。,9,生物および食料資源の汚染,0.3207
これを2030年度 開催しましたが、話題提起はせず、子育てと仕事の両立 業そのものが大きなチャレンジでした。,9,児童労働,0.4347
"特に上司とのコミュニ り、従業員エンゲージメントの向上や、今後の事業成長
ケーション、成長支援の強化については、管理職やマネ において非常に重要だと考えています。",9,健康と安全,0.3434
"オリエンタルランドは、新たな収益機会となりうる新 および運営に関する権利を有することとなり、2025
あなたと社会に、もっとハピネスを。",12,平等と機会,0.3682
"下げることで快適なパークを提供しながら、平準化を推 方針
また、本計画を起点に、起こりうる環境変化に柔軟に対応できる体制を確立し、当社グループが 進することで年間の入園者数を底上げします。",16,気候変動への適応,0.3366
"下げることで快適なパークを提供しながら、平準化を推 方針
また、本計画を起点に、起こりうる環境変化に柔軟に対応できる体制を確立し、当社グループが 進することで年間の入園者数を底上げします。",16,気候変動の緩和,0.3316
"ESGマテリアリティのひとつに「従業員の幸福」を定め、2030年に向けた人・組織のありたい姿を • 社長と従業員の“KATARIBA（対話機会）”の拡充
策定しその取り組みを推進しています。",22,健康と安全,0.3166
造する人材の育成「」多様な人材の活躍「」生き生きと働 当社グループは、“働きがい総合設問のポジティブ回答 標として、総合スコアを採用することとしました。,22,児童労働,0.3047
"した個人として、自分のキャリアに責任を持ち、主 ら、自らのキャリアと能力を開発し続ける機会
生き生き 71と掲げました。",22,健康と安全,0.3507
"した個人として、自分のキャリアに責任を持ち、主 ら、自らのキャリアと能力を開発し続ける機会
生き生き 71と掲げました。",22,平等と機会,0.3887
"を図れるよう、さまざまな制度を整えるとともに、キャス インド、年齢・ジェンダー・役職に関わらず、ともに称え
る機会を提供しています。",23,平等と機会,0.3318
"将来的には、第三者保証やスコープ3目標設定につな
定した当社グループの戦略・レジリエンス（強靭性）と、さ 3つのシナリオにおけるリスク・機会と、事業および財 がるものと捉えています。",26,健康と安全,0.3996
"将来的には、第三者保証やスコープ3目標設定につな
定した当社グループの戦略・レジリエンス（強靭性）と、さ 3つのシナリオにおけるリスク・機会と、事業および財 がるものと捉えています。",26,平等と機会,0.3133
"＊1 取水量データや廃棄物データの算定も含む
らなる施策の必要性の検討を目的に、2021年度に初め 務影響の概観は次の通りです。",26,水の消費と取水,0.3802
"準等の妥当性が答申された後、監査役の協議によって 有目的が適切か、保有に伴う便益（資産価値、配当、取 続していないか
ただし、社外取締役は現金報酬のみを支給しています。",30,適切な賃金,0.3571
"応方針の決定や対応策の指示、情報伝達を行うとともに、
「戦略リスク」は経営戦略部が、「運営リスク」はリスク 事態収拾後の再発防止策の策定を行っています。",33,健康と安全,0.3312
"＊1 事業のサステナビリティに重大な影響を与えるリスク
総勢約1,000名に及ぶ技術者が、安全性を確認・管理しています。",33,非常に懸念の高い物質,0.3063
"＊1 事業のサステナビリティに重大な影響を与えるリスク
総勢約1,000名に及ぶ技術者が、安全性を確認・管理しています。",33,健康と安全,0.373
"資本金 63,201百万円 （株）グリーンアンドアーツ （株） オリエンタルランド・
ています。",34,海洋資源の採取と利用,0.3318
