sentence,page,topic,similarity
"本資料利用の結果生じた、いかなる損害についても、当
62 主な国別エクスポージャー 社は一切責任を負いません。",6,海洋資源の使用,0.3013
"この根底にあるのは、「自由闊達」という企業 安定的なサプライチェーンの責任ある構築・管理に対する当社
らに、これらの解決策は、他地域や他産業への横展開も可能で 文化です。",9,健康と安全,0.3364
"例えば他地域へ展開する場合、地域コミュニティへの深い理 組合せからイノベーションを生み出す経験を持ち、また共有して また、サステナビリティの観点では、気候変動や人的資本等の
解と洞察を得ながら、地域性・文化・発展段階等に合わせたテー います。",9,気候変動への適応,0.3938
当社は を含めた、危険化学物質であるアンモニアの取扱いについて熟知 におけるパイトン石炭火力発電事業です。,11,非常に懸念の高い物質,0.3128
"パイトンは、1990年代
1970年代から、UAEのエネルギー産業を代表する企業であるア しています。",11,エネルギー,0.4078
"パイトンは、1990年代
1970年代から、UAEのエネルギー産業を代表する企業であるア しています。",11,水の消費と取水,0.3176
"パイトンは、1990年代
1970年代から、UAEのエネルギー産業を代表する企業であるア しています。",11,海洋資源の使用,0.3013
"パイトンは、1990年代
1970年代から、UAEのエネルギー産業を代表する企業であるア しています。",11,健康と安全,0.3383
"加えて、長年のLNGの日本・アジア向け供給実績が におけるプロジェクトの立上げ、その後の安定稼働を通じて地域
ブダビ国営石油会社（ADNOC）とLNG事業を共同運営してい あります。",11,健康と安全,0.3013
"クリーンアンモニア事業は、化学品とエネルギーの産業 社会への安定的な電力供給を担い、長きにわたり地域社会への
ます。",11,エネルギー,0.3702
"クリーンアンモニア事業は、化学品とエネルギーの産業 社会への安定的な電力供給を担い、長きにわたり地域社会への
ます。",11,生物および食料資源の汚染,0.3863
"クリーンアンモニア事業は、化学品とエネルギーの産業 社会への安定的な電力供給を担い、長きにわたり地域社会への
ます。",11,水の消費と取水,0.3406
"クリーンアンモニア事業は、化学品とエネルギーの産業 社会への安定的な電力供給を担い、長きにわたり地域社会への
ます。",11,循環経済,0.3159
"クリーンアンモニア事業は、化学品とエネルギーの産業 社会への安定的な電力供給を担い、長きにわたり地域社会への
ます。",11,健康と安全,0.3904
"しかし、社会課
イスにおける新たなLNG事業に、エネルギーメジャーと共に強力 アムにつながる当社らしい事業です。",11,エネルギー,0.3383
"個から成長を 真摯に誠実に
私たちは、常にプロとして自己を高め続け、個の成長を全体の成長につなげます。",18,健康と安全,0.3849
"● 低炭素素材・原料事業開始
● 新 規の石炭火力発電事業には取り組みません。",22,海洋資源の採取と利用,0.3198
"＊3 Carbon Capture and Storage：二酸化炭素の回収・貯留 ＊4 CCS as a Service：CCSをサービスとして顧客に提供する事業
● 石 炭事業において一般炭炭鉱権益を保有していません。",22,生物および食料資源の汚染,0.3043
"＊3 Carbon Capture and Storage：二酸化炭素の回収・貯留 ＊4 CCS as a Service：CCSをサービスとして顧客に提供する事業
● 石 炭事業において一般炭炭鉱権益を保有していません。",22,水の消費と取水,0.4123
"＊3 Carbon Capture and Storage：二酸化炭素の回収・貯留 ＊4 CCS as a Service：CCSをサービスとして顧客に提供する事業
● 石 炭事業において一般炭炭鉱権益を保有していません。",22,海洋資源の使用,0.3109
"＊3 Carbon Capture and Storage：二酸化炭素の回収・貯留 ＊4 CCS as a Service：CCSをサービスとして顧客に提供する事業
● 石 炭事業において一般炭炭鉱権益を保有していません。",22,海洋資源の採取と利用,0.4022
"＊3 Carbon Capture and Storage：二酸化炭素の回収・貯留 ＊4 CCS as a Service：CCSをサービスとして顧客に提供する事業
● 石 炭事業において一般炭炭鉱権益を保有していません。",22,健康と安全,0.3151
"また、アンケート項目の改善、サプライヤー側 2020年3月期〜
●食料 （新入社員、ラインマネージャー）に「ビジネスと人権」の内容を追加しました。",23,生物および食料資源の汚染,0.3462
"また、アンケート項目の改善、サプライヤー側 2020年3月期〜
●食料 （新入社員、ラインマネージャー）に「ビジネスと人権」の内容を追加しました。",23,平等と機会,0.3107
"生物多様性の保全等のポジティブなインパクトが引
自然資本観点のリスク審査機能の強化・機会案件の評価 き続き実現されるように、持続可能な森林経営を継続していきます。",24,生物多様性の損失,0.3135
"気候変動対応はもちろんのこと、自然資本、ビジネスと人権にお 事業ポートフォリオを変革する中、2050年ネットゼロエミッ
いても、バリューチェーン全体で取り組む必要性を実感しています。",25,気候変動,0.332
"気候変動対応はもちろんのこと、自然資本、ビジネスと人権にお 事業ポートフォリオを変革する中、2050年ネットゼロエミッ
いても、バリューチェーン全体で取り組む必要性を実感しています。",25,気候変動への適応,0.4329
"当社の事業ポートフォリオ変革のスピードと規模感は、共に加
人権は、すべての人に共通する普遍的な権利であり、議論の余 速しています。",25,平等と機会,0.3212
