sentence,page,topic,similarity
役職員がグローバルで一体となり、こうした世界的な流れに対応していくため、ORIX Group Purpose & Cultureを導入しました。,2,海洋資源の採取と利用,0.328
役職員がグローバルで一体となり、こうした世界的な流れに対応していくため、ORIX Group Purpose & Cultureを導入しました。,2,健康と安全,0.3139
役職員がグローバルで一体となり、こうした世界的な流れに対応していくため、ORIX Group Purpose & Cultureを導入しました。,2,企業文化,0.3523
"変化に 広い視野で時代の流れを捉え、
変化の兆しに対していち早く行動を起こし、 それが、私たちのパーパスです。",2,気候変動,0.3379
"変化に 広い視野で時代の流れを捉え、
変化の兆しに対していち早く行動を起こし、 それが、私たちのパーパスです。",2,気候変動への適応,0.41
"変化に 広い視野で時代の流れを捉え、
変化の兆しに対していち早く行動を起こし、 それが、私たちのパーパスです。",2,気候変動の緩和,0.3019
"変化に 広い視野で時代の流れを捉え、
変化の兆しに対していち早く行動を起こし、 それが、私たちのパーパスです。",2,健康と安全,0.3244
"である、とCEOは述べており、2023年11月に制定した「ORIX Group リスクマネジメント 50
Purpose ＆Culture」の浸透が有効だと考えています。",3,健康と安全,0.3494
取締役 兼 代表執行役社長 可能性があることを認識する必要があります。,4,平等と機会,0.3497
"て、いきいきとした社会、サステナブルな社会
▶ P.9 ESG関連の重要課題と重要目標 の実現を目指します。",9,健康と安全,0.3163
"3 2030年3月期までに、オリックスグループの女性管理職比率を30%
4 循環型経済の推進と廃棄物削減の適切な処理を継続する。",10,循環経済,0.3233
"4 2030年3月期までに、オリックスグループのGHG（CO ）排出量を、
6 環境への影響を緩和するための商品・サービスの提供により、すべての関係者と共同で環境改善を促進する。",10,気候変動への適応,0.3032
"4 2030年3月期までに、オリックスグループのGHG（CO ）排出量を、
6 環境への影響を緩和するための商品・サービスの提供により、すべての関係者と共同で環境改善を促進する。",10,空気の汚染,0.3808
"4 2030年3月期までに、オリックスグループのGHG（CO ）排出量を、
6 環境への影響を緩和するための商品・サービスの提供により、すべての関係者と共同で環境改善を促進する。",10,水の汚染,0.3656
"4 2030年3月期までに、オリックスグループのGHG（CO ）排出量を、
6 環境への影響を緩和するための商品・サービスの提供により、すべての関係者と共同で環境改善を促進する。",10,生物および食料資源の汚染,0.3473
"4 2030年3月期までに、オリックスグループのGHG（CO ）排出量を、
6 環境への影響を緩和するための商品・サービスの提供により、すべての関係者と共同で環境改善を促進する。",10,健康と安全,0.3278
