sentence,page,topic,similarity
私たちの価値観 堅持する姿勢 地域社会との共生を目指す精神は創立時から脈々と受け継がれており、事業活動を通じた社会貢献が当社の基本的な姿勢です。,5,企業文化,0.3548
"現在もコマ しつつ、一つのチームとして、やりが および循環型社会を実現する安全で 術を駆使して環境負荷を低減し、地球
ます。",5,循環経済,0.3121
"現在もコマ しつつ、一つのチームとして、やりが および循環型社会を実現する安全で 術を駆使して環境負荷を低減し、地球
ます。",5,健康と安全,0.3391
いと誇りを持って、安全・健康に働く 生産性の高い商品・サービス・ソ 環境の保全に努めます。,5,健康と安全,0.5181
"リューションをお客さまに提供し、事 ● も のづくりと技術の革新で、地球環境
中期経営計画（ 〜 年度）「 私たちの価値観を行動様式で表現したのが「コマツ ● さまざまな現場や地域の課題解決の 業活動を通じて社会に貢献します。",5,気候変動への適応,0.3401
年には北中南米 では世界 カ国 カ所の鉱山で 台 「見える化」し、安全性・生産性・環境適 分析することで、工場の稼働状況の可視 フォームで一元管理。,10,健康と安全,0.3595
建設・ 伝統市場 46% 、戦略市場 54% 。,11,生物および食料資源の汚染,0.3464
建設・ 伝統市場 46% 、戦略市場 54% 。,11,健康と安全,0.3131
"CO2 排出量は 2030 年までに 50%
*1建設機械・車両事業 *2 伝統市場：日本、北米、欧州 削減、 2050 年カーボンニュートラルを目標としています。",11,空気の汚染,0.3317
"CO2 排出量は 2030 年までに 50%
*1建設機械・車両事業 *2 伝統市場：日本、北米、欧州 削減、 2050 年カーボンニュートラルを目標としています。",11,水の汚染,0.3046
"CO2 排出量は 2030 年までに 50%
*1建設機械・車両事業 *2 伝統市場：日本、北米、欧州 削減、 2050 年カーボンニュートラルを目標としています。",11,生物および食料資源の汚染,0.3959
"現場の課題意識や潜在的な希望などを把握する うと、今の若い人たちは古いと感じるのかもしれませんが、若手社員
を目指していきます。",14,生物および食料資源の汚染,0.3174
"現場の課題意識や潜在的な希望などを把握する うと、今の若い人たちは古いと感じるのかもしれませんが、若手社員
を目指していきます。",14,労働条件,0.306
"現場の課題意識や潜在的な希望などを把握する うと、今の若い人たちは古いと感じるのかもしれませんが、若手社員
を目指していきます。",14,健康と安全,0.321
"現場の課題意識や潜在的な希望などを把握する うと、今の若い人たちは古いと感じるのかもしれませんが、若手社員
を目指していきます。",14,児童労働,0.3247
建設機械・車両事業の売上高の約 、特に、鉱山機械においては、売上 界の人口増加を背景に木材需要は増加しており、 吸収のための環境植林も伸びています。,21,生物および食料資源の汚染,0.3433
建設機械・車両事業の売上高の約 、特に、鉱山機械においては、売上 界の人口増加を背景に木材需要は増加しており、 吸収のための環境植林も伸びています。,21,水の消費と取水,0.3231
また、株式会社 は、熱電素子および半導体製造装置に 自動車産業のお客さまの生産に貢献しています。,22,健康と安全,0.3713
"• 10 2012 2021
動車部品の軽量化などの環境変化に対応し、新工法の提案などによる ・ 色 林 塗 業 バ 機 ブ 械 ルの お サ よ イ び ズ ス は マ 、 ー 各 ト 事 コ 業 ン セグ ス メ ト ン ラ ト ク の シ 過 ョ 去 ン10は 年 、 間 建 （ 設20機1械2 〜 の2内0数21と 年 し 度 て ）の売上 年 高を 度 平 か 均 ら し の て 方 算 向 出 性 。",23,気候変動への適応,0.3323
"配当金については、連結業績に加え、将来の投資計画やキャッシュ・フローなどを総合的に勘案し、連結配
当性向を 以上として、引き続き安定的な配当の継続に努めていく方針です。",31,健康と安全,0.314
いずれにおいても、 年度も向上を確認できました（図 ）。,32,エネルギー,0.319
いずれにおいても、 年度も向上を確認できました（図 ）。,32,健康と安全,0.3034
"さらに、鉱山現場の安全性と生産性向
図：成長戦略 本柱 上の両立に向けた取り組みとして、大型 ブルドーザーの遠隔操作の商用稼働も開始しています。",34,健康と安全,0.3966
コマツでは、 年から プロセスを効率化することで使用する燃料が減り、 排出削減が進みます。,39,エネルギー,0.3082
コマツでは、 年から プロセスを効率化することで使用する燃料が減り、 排出削減が進みます。,39,水の消費と取水,0.3548
コマツでは、 年から プロセスを効率化することで使用する燃料が減り、 排出削減が進みます。,39,循環経済,0.3017
"2030年CO2半減
（2010年比50%効率アップ） 2050 また、私たちが描く将来ビジョンをショートフィルムに落とし込む活動も非常に重要です。",40,水の汚染,0.3153
"2030年CO2半減
（2010年比50%効率アップ） 2050 また、私たちが描く将来ビジョンをショートフィルムに落とし込む活動も非常に重要です。",40,水の消費と取水,0.3023
"新興国における建築木材の需要増加や紙オム 森林および木材資源はその活用方法により、
ツなど衛生用品の普及、環境意識の高まりにより、プラスチックの代替となるパルプ材や木質バイオマス原 地球温暖化の抑止に大いに貢献します。",42,気候変動への適応,0.3519
"新興国における建築木材の需要増加や紙オム 森林および木材資源はその活用方法により、
ツなど衛生用品の普及、環境意識の高まりにより、プラスチックの代替となるパルプ材や木質バイオマス原 地球温暖化の抑止に大いに貢献します。",42,生物および食料資源の汚染,0.4441
"新興国における建築木材の需要増加や紙オム 森林および木材資源はその活用方法により、
ツなど衛生用品の普及、環境意識の高まりにより、プラスチックの代替となるパルプ材や木質バイオマス原 地球温暖化の抑止に大いに貢献します。",42,マイクロプラスチック,0.311
"新興国における建築木材の需要増加や紙オム 森林および木材資源はその活用方法により、
ツなど衛生用品の普及、環境意識の高まりにより、プラスチックの代替となるパルプ材や木質バイオマス原 地球温暖化の抑止に大いに貢献します。",42,水の消費と取水,0.3753
"新興国における建築木材の需要増加や紙オム 森林および木材資源はその活用方法により、
ツなど衛生用品の普及、環境意識の高まりにより、プラスチックの代替となるパルプ材や木質バイオマス原 地球温暖化の抑止に大いに貢献します。",42,海洋資源の使用,0.3411
"新興国における建築木材の需要増加や紙オム 森林および木材資源はその活用方法により、
ツなど衛生用品の普及、環境意識の高まりにより、プラスチックの代替となるパルプ材や木質バイオマス原 地球温暖化の抑止に大いに貢献します。",42,海洋資源の採取と利用,0.3781
"新興国における建築木材の需要増加や紙オム 森林および木材資源はその活用方法により、
ツなど衛生用品の普及、環境意識の高まりにより、プラスチックの代替となるパルプ材や木質バイオマス原 地球温暖化の抑止に大いに貢献します。",42,健康と安全,0.3532
"さまざまな課題解決のために挑戦を続け、新しい顧客価値を創 経営の現地化を進めるなかで、各国・各地域の労働慣行などに応じた で経営戦略を実現し、社員・会社双方の持続的な成長の好循環を目指
造する人材の育成を目指し、各施策を展開しています。",47,気候変動への適応,0.3272
"さまざまな課題解決のために挑戦を続け、新しい顧客価値を創 経営の現地化を進めるなかで、各国・各地域の労働慣行などに応じた で経営戦略を実現し、社員・会社双方の持続的な成長の好循環を目指
造する人材の育成を目指し、各施策を展開しています。",47,児童労働,0.3003
"国籍、人種、民族、肌の色、性別、 のもと、グローバル人材やジェンダー、 LGBTQ 、障がい者、シ
性的指向、性自認、年齢、宗教、先祖、障がいの有無、婚姻の状態等を理由とした不当な差別は、絶対に行わない。",48,文化的権利,0.3245
"これまでに 本の 動画を作成し、 カ国語で発信してい
・児童労働・強制労働は絶対に行わない。",48,児童労働,0.3865
"他方、それは他社との差別化が容易でなくなること は、世界中から候補者を選抜し、例えば、アメリカからオーストラリア、
も意味します。",50,空気の汚染,0.3405
"他方、それは他社との差別化が容易でなくなること は、世界中から候補者を選抜し、例えば、アメリカからオーストラリア、
も意味します。",50,水の汚染,0.3046
"他方、それは他社との差別化が容易でなくなること は、世界中から候補者を選抜し、例えば、アメリカからオーストラリア、
も意味します。",50,生物および食料資源の汚染,0.3045
"KPI 100
安全・安心な職場環境の実現を目指していきます。",52,労働条件,0.3776
"KPI 100
安全・安心な職場環境の実現を目指していきます。",52,労働時間,0.3195
"KPI 100
安全・安心な職場環境の実現を目指していきます。",52,健康と安全,0.4035
"KPI 100
安全・安心な職場環境の実現を目指していきます。",52,児童労働,0.3127
"KPI 100
安全・安心な職場環境の実現を目指していきます。",52,プライバシー,0.3156
"Department, GM
これからも継続して安全な職場環境づくりに取り組みます。",52,労働時間,0.3248
"Department, GM
これからも継続して安全な職場環境づくりに取り組みます。",52,健康と安全,0.4214
"Department, GM
これからも継続して安全な職場環境づくりに取り組みます。",52,児童労働,0.3096
"2019 9 2023 9
本方針は、すべての事業活動および全世界のグループ社員に適用されるだけでなく、協力企業（サプライヤー）、販売・サービス代理店を含むビジネスパートナーに対しても事業活動のなかで本方針に従うよう期待しています。",53,水の消費と取水,0.3233
"2019 9 2023 9
本方針は、すべての事業活動および全世界のグループ社員に適用されるだけでなく、協力企業（サプライヤー）、販売・サービス代理店を含むビジネスパートナーに対しても事業活動のなかで本方針に従うよう期待しています。",53,労働時間,0.3224
