sentence,page,topic,similarity
"もちろん、一人ひとりが望む「幸せ」は同じも
「Nomuraパーパス・ジャーニー」プロジェクトを立ち上 のではありません。",7,健康と安全,0.3098
"冒頭の問いに答えるために、パーパスには３つの要素 資金の供給者である投資家と資金を必要とする企業等の
「私たちは、なぜこの社会において必要とされるのか？",7,水の消費と取水,0.3224
"冒頭の問いに答えるために、パーパスには３つの要素 資金の供給者である投資家と資金を必要とする企業等の
「私たちは、なぜこの社会において必要とされるのか？",7,健康と安全,0.3095
"冒頭の問いに答えるために、パーパスには３つの要素 資金の供給者である投資家と資金を必要とする企業等の
「私たちは、なぜこの社会において必要とされるのか？",7,平等と機会,0.3013
"具体的には、「どのような世界に価値がある 資金の需要者をつなぎ、流動性を供給し、健全性を担保
「どんな役割を果たしていく意思があるのか？",7,健康と安全,0.3045
"」、そこで私たちは「どのような役割を果たしていく 押しすることで、人々の暮らしや社会・経済の発展に貢献
いから始まりました。",7,健康と安全,0.3344
"」、そこで私たちは「どのような役割を果たしていく 押しすることで、人々の暮らしや社会・経済の発展に貢献
いから始まりました。",7,児童労働,0.311
"野村グループは、グローバル金融サービス・グループと 持続的な社会を実現していくうえで、サステナブル関連
して、約30の国と地域にネットワークを有しています。",10,健康と安全,0.3883
"(cid:15498) セキュリティ・トークン
す。",10,健康と安全,0.4063
"(cid:15498) セキュリティ・トークン
す。",10,プライバシー,0.3055
"また、2017年に米国で、インフラと電力関連のIPF（イ の業界のフロントランナーとして地位を確立（シェア：
ンフラストラクチャー＆パワーファイナンス）専属チームを 43.8％）しています。",10,エネルギー,0.3776
"また、2017年に米国で、インフラと電力関連のIPF（イ の業界のフロントランナーとして地位を確立（シェア：
ンフラストラクチャー＆パワーファイナンス）専属チームを 43.8％）しています。",10,水の消費と取水,0.3397
"また、2017年に米国で、インフラと電力関連のIPF（イ の業界のフロントランナーとして地位を確立（シェア：
ンフラストラクチャー＆パワーファイナンス）専属チームを 43.8％）しています。",10,健康と安全,0.3695
"また、2017年に米国で、インフラと電力関連のIPF（イ の業界のフロントランナーとして地位を確立（シェア：
ンフラストラクチャー＆パワーファイナンス）専属チームを 43.8％）しています。",10,平等と機会,0.332
"ここでも、新規参入の一番の障壁 新たな環境の変化に対応するために、多様性は重要で
が、ミドル・バック業務といわれています。",11,気候変動への適応,0.3586
"業およびコーポレート・ガバナンスに関する事項などにつ
性が受容される職場環境の整備や、男性社員の育休取得 また、リスクカルチャーの醸成に向けて、2020年から いて定期的に議論しています。",12,生物および食料資源の汚染,0.3026
