sentence,page,topic,similarity
"我々が提供しているLifeWea（r 究極の普段着）には、精緻な日本のものづくりの精神が息づ
いています。",7,労働時間,0.3012
"LifeWea（r 究極の普段着）という新しい服の概念を
途方もない目標ではないと思っています。",8,水の汚染,0.3212
"LifeWea（r 究極の普段着）という新しい服の概念を
途方もない目標ではないと思っています。",8,生物および食料資源の汚染,0.3166
"私自身が最初 様に満足いただける商品をお届けして、世界最高のグロー
にその船に乗らないと、みんなは乗らないと思ったのです。",8,水の汚染,0.3358
"私自身が最初 様に満足いただける商品をお届けして、世界最高のグロー
にその船に乗らないと、みんなは乗らないと思ったのです。",8,健康と安全,0.3129
"経営の目的は、「お客様」つまり店舗のファンを増 全世界、全店舗で同じサービス水準でLifeWearを提供す
やしていくことです。",12,健康と安全,0.3228
"店舗の販売員は単なる作業者 守るべき基準を丁寧に説明し、一緒になって実行する働き
ではなく、全員が経営者であり、店舗の店主、リーダーです。",12,健康と安全,0.3448
"「チーム経営」の体制を強化
2023年9月に、ユニクロ事業のグローバルCEOを務める を担っていきます。",15,マイクロプラスチック,0.3092
"成功は、少数 世界中で最高水準の人材の採用を強化し、その人たちが各
精鋭でもたらされます。",15,健康と安全,0.3021
"成功は、少数 世界中で最高水準の人材の採用を強化し、その人たちが各
精鋭でもたらされます。",15,障害者の雇用,0.3167
"第1は、「あなた デジタル化が進み、個人の生活も、企業の経営も、世界中
は何者で、どこが他の人と違うのですか？",16,空気の汚染,0.3177
"第1は、「あなた デジタル化が進み、個人の生活も、企業の経営も、世界中
は何者で、どこが他の人と違うのですか？",16,水の汚染,0.3651
"第1は、「あなた デジタル化が進み、個人の生活も、企業の経営も、世界中
は何者で、どこが他の人と違うのですか？",16,生物および食料資源の汚染,0.3457
"第1は、「あなた デジタル化が進み、個人の生活も、企業の経営も、世界中
は何者で、どこが他の人と違うのですか？",16,水の消費と取水,0.3501
"第1は、「あなた デジタル化が進み、個人の生活も、企業の経営も、世界中
は何者で、どこが他の人と違うのですか？",16,健康と安全,0.3524
"」我々は難民 のは、自分のことだけ、自社のことだけ、自国のことだけ、と
の支援や障がい者の雇用、服のリサイクル、人権への取り いった一方的な利益しか考えないことです。",16,障害者の雇用,0.371
"」我々は難民 のは、自分のことだけ、自社のことだけ、自国のことだけ、と
の支援や障がい者の雇用、服のリサイクル、人権への取り いった一方的な利益しか考えないことです。",16,児童労働,0.3432
"」我々は難民 のは、自分のことだけ、自社のことだけ、自国のことだけ、と
の支援や障がい者の雇用、服のリサイクル、人権への取り いった一方的な利益しか考えないことです。",16,文化的権利,0.3159
"第3は、「あな そうした考え方では、これからの世界は何も解決できない
たはこの国にどんな良いことをしてくれますか？",16,水の汚染,0.3049
"第3は、「あな そうした考え方では、これからの世界は何も解決できない
たはこの国にどんな良いことをしてくれますか？",16,健康と安全,0.3265
"自分が何者で、 から世界を見て、社会のために商売をする視点をもてば、
何ができて、何を実現したいのか。",16,水の消費と取水,0.3059
"自分が何者で、 から世界を見て、社会のために商売をする視点をもてば、
何ができて、何を実現したいのか。",16,健康と安全,0.3237
