sentence,page,topic,similarity
と し 、活 動 の 公 開 性 、透 正 大 で 品 格 の あ る 行 動 事 光 明 じ こう めい の 維 持 に も 貢 献 す る 。,3,ロビー活動,0.3027
"社 社長就任以来、私や社外役員を含めたマネジメントと、国内外の機関投資家、
時々で新たな成長機会を取り込んできました。",5,海洋資源の採取と利用,0.3051
"社 社長就任以来、私や社外役員を含めたマネジメントと、国内外の機関投資家、
時々で新たな成長機会を取り込んできました。",5,健康と安全,0.3052
"社 社長就任以来、私や社外役員を含めたマネジメントと、国内外の機関投資家、
時々で新たな成長機会を取り込んできました。",5,平等と機会,0.3206
"支えるのは21世紀の『産業の米』たる技術基盤としての半導体と、『産業の たのは高い志を持ってその時々の 今後も株主・投資家の皆さまとの双方向のコミュニケーションを通じ、さら
水』たる動力源としての電力です。",5,水の消費と取水,0.3257
社会・生活インフラに不可欠な電力の価格 社会課題に挑戦してきた社員に なる成長を目指していきたいと考えています。,5,健康と安全,0.3061
"例えば、LNG事業では に、社会課題の解決に資する事業を連続的に生み出すことができるユニーク
石油の輸入販売を軸に築き上げてきた顧客との信頼関係を活かし、1960年 な事業体として、当社は成長してきました。",6,健康と安全,0.3043
"このような人材を多く育て、次に
の事業領域だけに専念すればよいという時代から、関連する領域を俯瞰的 バトンをつなぐことが、私の社長としての最大のミッションだと考えています。",7,健康と安全,0.322
"このような人材を多く育て、次に
の事業領域だけに専念すればよいという時代から、関連する領域を俯瞰的 バトンをつなぐことが、私の社長としての最大のミッションだと考えています。",7,児童労働,0.3239
"同事業を通じて培ったネットワーク・事業開発力・販売力
を活かし、次世代エネルギー事業の選別的な開発にも取り組んで 入社以来石油・天然ガス事業に従事。",13,エネルギー,0.35
"次世代エネルギー事業 ギー会社としての顧客基盤を活用しながら、欧州で普及している電気自動車
ミッションとしています。",13,エネルギー,0.3297
➡ 詳細は 地球環境エネルギーグループ（P.39） をご覧ください。,13,エネルギー,0.3885
➡ 詳細は 地球環境エネルギーグループ（P.39） をご覧ください。,13,海洋資源の使用,0.3008
"また、全社ポートフォリオの観点から、
事業のリスク ・リターンや集中リスク等を定期的にモニタリングする枠組みを構築することで、資本効率の向上や財務健全性の維持に向けた打ち手の検討に役立てています。",16,健康と安全,0.3454
"• 上記施策と共に、市場期待を踏まえた株主還元、財務健全性の
維持を前提とした上でキャッシュ・フロー配分を行っています。",18,健康と安全,0.317
"• 上記施策と共に、市場期待を踏まえた株主還元、財務健全性の
維持を前提とした上でキャッシュ・フロー配分を行っています。",18,平等と機会,0.3031
"当社は企業価値向上に向けて、循環型成長モデル さらに、上場政策保有株式の削減についても、資本効
（P.15）への取り組みを加速しています。",19,循環経済,0.3007
"• 社内メカニズムにマテリアリティを統合し、事業機会の追求、
リスクへの適切な対応に取り組んでいます。",25,健康と安全,0.3041
"• 社内メカニズムにマテリアリティを統合し、事業機会の追求、
リスクへの適切な対応に取り組んでいます。",25,平等と機会,0.3254
産 Scope3の取り組み ゴリーを拡充すべく、連結・グローバルベースでの排出量の収集を行っていきます。,26,海洋資源の採取と利用,0.3159
"このことは非常にありがたいし、重要であると感じて
委員長の属性にかかわらず問題なく機能することを事前 本質的な議論を行うことができます。",30,非常に懸念の高い物質,0.3014
"結果的に、審議時間
えることと捉え、この実現のため、経営の健全性、透明性および効率性を確保する基盤として、コーポ の約半分を経営方針・経営戦略に関する審議に充てています（図1）。",31,健康と安全,0.3429
"●（法務）企業法務全般の管理 ●（財務・会計）財務・会計全般の管理
す。",34,健康と安全,0.3067
"また、GHG排出量削減目標に係る削減計画や施策は、技術発
【参考値】 展・経済性・政策／制度支援等の進(cid:7743)に応じて柔軟に変更。",50,気候変動への適応,0.3673
"また、GHG排出量削減目標に係る削減計画や施策は、技術発
【参考値】 展・経済性・政策／制度支援等の進(cid:7743)に応じて柔軟に変更。",50,気候変動の緩和,0.3017
･ カテゴリー15：Scope1・2のうち、関連会社・共同支配企業の排出量（GHGプロトコルの （4） 2023年度Scope1排出量の前年度対比増加は、主に6.5ガスの排出係数の変更に伴うもの。,50,気候変動への適応,0.3279
･ カテゴリー15：Scope1・2のうち、関連会社・共同支配企業の排出量（GHGプロトコルの （4） 2023年度Scope1排出量の前年度対比増加は、主に6.5ガスの排出係数の変更に伴うもの。,50,気候変動の緩和,0.309
･ カテゴリー15：Scope1・2のうち、関連会社・共同支配企業の排出量（GHGプロトコルの （4） 2023年度Scope1排出量の前年度対比増加は、主に6.5ガスの排出係数の変更に伴うもの。,50,空気の汚染,0.3891
･ カテゴリー15：Scope1・2のうち、関連会社・共同支配企業の排出量（GHGプロトコルの （4） 2023年度Scope1排出量の前年度対比増加は、主に6.5ガスの排出係数の変更に伴うもの。,50,水の汚染,0.331
･ カテゴリー15：Scope1・2のうち、関連会社・共同支配企業の排出量（GHGプロトコルの （4） 2023年度Scope1排出量の前年度対比増加は、主に6.5ガスの排出係数の変更に伴うもの。,50,生物および食料資源の汚染,0.3138
