sentence,page,topic,similarity
そ 1960年代、ブリヂストンは、経営の近代化と品質管理活動を推 であったファイアストン社を買収しました。,5,生物および食料資源の汚染,0.3338
創業から、日本、アジアの人々の安心・安全な移動、モー る」を基本思想として、全社的な企業体質改善の取り組みを開 世界シェアTOP3に名を連ねることになります。,5,健康と安全,0.3696
"年に米国INDYCAR® SERIESへ復帰、二輪の世界最高峰レー
スであるMotoGP™にも2002年に参戦しました。",5,水の汚染,0.3286
"年に米国INDYCAR® SERIESへ復帰、二輪の世界最高峰レー
スであるMotoGP™にも2002年に参戦しました。",5,生物および食料資源の汚染,0.3205
"年に米国INDYCAR® SERIESへ復帰、二輪の世界最高峰レー
スであるMotoGP™にも2002年に参戦しました。",5,マイクロプラスチック,0.3846
"年に米国INDYCAR® SERIESへ復帰、二輪の世界最高峰レー
スであるMotoGP™にも2002年に参戦しました。",5,健康と安全,0.339
"24MBPは2030年「長期戦略アスピレーション」を道筋・北極星に、事業環境の変化点や中期事業計画 (2021-2023) –
21MBPの残課題・表面化した新たな課題を踏まえて策定しました。",6,生物および食料資源の汚染,0.3165
"らアジアへ、各地域におけるモータリゼーションを足元で支え そして、この変革を加速するために、創立91周年記念
ながら事業を拡大しました。",7,気候変動への適応,0.3226
"E8 コミットメントは、「地球は未来の子
ンパニーへの進化を遂げました。",7,エネルギー,0.3414
"従業員、社会、パートナー、お客様と共に価値を創造することで、
創業から90年以上にわたり、安心・安全な「人とモノの移動を 持続可能な社会の実現を支えていくという約束、宣言です。",7,労働時間,0.3048
"従業員、社会、パートナー、お客様と共に価値を創造することで、
創業から90年以上にわたり、安心・安全な「人とモノの移動を 持続可能な社会の実現を支えていくという約束、宣言です。",7,健康と安全,0.4318
"この実行を通じて、競争優位を獲得しながら、クル 政学、モビリティ・テクノロジー、サステナビリティ、タイヤ業界
社へ変革すること す」リサイクルを探索事業と位置づけ、循環型ビジネスモデル マを支え、車両運行システムを支え続けることを目指すと共に、 構造の4つを中心に、しっかりと変化を見極めました。",8,気候変動への適応,0.3515
"24MBPでは、こ
加えて、TRWP（タイヤが安心・安全な移動を支えるために必 ション事業の「やること」「やらないこと」を収益性、成長性の 指標の両面から設定しました。",9,健康と安全,0.4063
"これ
ており、「変化に対応できる強いブリヂストン」への進化、稼ぐ る事業環境悪化への感度の低さなどが表面化しました。",9,気候変動への適応,0.3678
"これ
ており、「変化に対応できる強いブリヂストン」への進化、稼ぐ る事業環境悪化への感度の低さなどが表面化しました。",9,気候変動の緩和,0.3095
"Capital）は23年で8.7%と、21MBPのターゲットであった 財投資を強化し、付加価値を上げ、価値創造の好循環を生む」
事業環境の変化を冷静に見極め、そして変化、リスクに対す 10%を下回る着地となりました。",9,気候変動への適応,0.3014
デミング・プランの基本思想は、「良い品質の製品は、良 「良いタイヤを創る」においては、「本数から価値へ」をテー 力の強化」を進めています。,10,健康と安全,0.302
"決意を、新メッセージ：Passion to Turn the World、「世界 種まきを実施し、社会価値・顧客価値を創造する新たなビジネ 「AirFree」、さらには、月面という極限の環境で安心・安全を守 初回に選定された15社のうちの1社となれたことは、ブリヂ
を変えていく情熱」を発表することで明確にお伝えしています。",11,空気の汚染,0.3049
"原材料に関連しては、再生可能資源の拡充、天然ゴム資 的な価値創造基盤を構築する取り組みを主に評価頂いたため
値を増幅し、タイヤをより安全に、長く、上手く、効率的に使っ 源の多様化を図るグアユールの研究を継続し、タイヤを原材料 と捉えています。",11,海洋資源の採取と利用,0.3252
"原材料に関連しては、再生可能資源の拡充、天然ゴム資 的な価値創造基盤を構築する取り組みを主に評価頂いたため
値を増幅し、タイヤをより安全に、長く、上手く、効率的に使っ 源の多様化を図るグアユールの研究を継続し、タイヤを原材料 と捉えています。",11,健康と安全,0.313
"空気充填が要らない次世代タイヤの「AirFree（エアフリー）」 社会のサステナビリティ課題やニーズを自社の成長に取り込 株式会社ブリヂストン
の技術開発、実証を進めています。",11,空気の汚染,0.3068
"空気充填が要らない次世代タイヤの「AirFree（エアフリー）」 社会のサステナビリティ課題やニーズを自社の成長に取り込 株式会社ブリヂストン
の技術開発、実証を進めています。",11,健康と安全,0.3019
"戻れていない 一部達成
23年はその最終年であり、24年以降、24MBPにおいて価値創造にフォーカスするにあたって、まずその「実行と結果」を振り返りました。",12,水の消費と取水,0.3512
"戻れていない 一部達成
23年はその最終年であり、24年以降、24MBPにおいて価値創造にフォーカスするにあたって、まずその「実行と結果」を振り返りました。",12,健康と安全,0.3287
常態化する変 重要課題として、グローバル戦略との一貫性を担保しなが ネスリスクへの対応を強化していきます。,14,気候変動への適応,0.344
"従業員の安全確 面と摩擦することによって発生する粉じんで、タイヤの表面であ
グローバル及び各地域のリスク管理体制を強化し、感度を上 保、資産保護、顧客対応、企業・ブランドイメージの保護に加 るトレッドと道路舗装材の混合物です。",15,健康と安全,0.3469
"これ 2022年にブリヂストンの米国子会社においてサイバー攻撃 を通じて、TRWPの物理的・化学的特性とその影響の研
に基づき、リスク演習を毎年実施し、リスクへの対応と事業戦 を受け、各地域においても緊急対策を実施しました。",15,気候変動への適応,0.361
"これ 2022年にブリヂストンの米国子会社においてサイバー攻撃 を通じて、TRWPの物理的・化学的特性とその影響の研
に基づき、リスク演習を毎年実施し、リスクへの対応と事業戦 を受け、各地域においても緊急対策を実施しました。",15,生物および食料資源の汚染,0.3288
"これ 2022年にブリヂストンの米国子会社においてサイバー攻撃 を通じて、TRWPの物理的・化学的特性とその影響の研
に基づき、リスク演習を毎年実施し、リスクへの対応と事業戦 を受け、各地域においても緊急対策を実施しました。",15,海洋資源の採取と利用,0.3046
"これ 2022年にブリヂストンの米国子会社においてサイバー攻撃 を通じて、TRWPの物理的・化学的特性とその影響の研
に基づき、リスク演習を毎年実施し、リスクへの対応と事業戦 を受け、各地域においても緊急対策を実施しました。",15,健康と安全,0.3325
"このプロジェクトは、複雑、且つ実装まで長期間に渡りましたが、PDCAを週
ブリヂストン独自のデミング・プラン 次で綿密に回し状況をモニタリングすることで、実現することが出来ました。",19,健康と安全,0.3173
"員の声を反映した即効性ある投資を実施し、福利厚生の充実
教育訓練費、福利厚生費の和）で割った値を「人的創造性KPI」 を進めています。",20,適切な賃金,0.3085
"員の声を反映した即効性ある投資を実施し、福利厚生の充実
教育訓練費、福利厚生費の和）で割った値を「人的創造性KPI」 を進めています。",20,児童労働,0.3116
2023年は安全や調達など多様な機能・部署 「Bridgestone E8 Commitment」と連動したグローバ 化、職場環境改善、労働負荷軽減策に取り組んでいます。,20,気候変動への適応,0.3388
2023年は安全や調達など多様な機能・部署 「Bridgestone E8 Commitment」と連動したグローバ 化、職場環境改善、労働負荷軽減策に取り組んでいます。,20,空気の汚染,0.3343
2023年は安全や調達など多様な機能・部署 「Bridgestone E8 Commitment」と連動したグローバ 化、職場環境改善、労働負荷軽減策に取り組んでいます。,20,健康と安全,0.4118
"2024年以降、プログラムをグロー ルカルチャーチェンジを推進する上で、従業員エンゲージメン に、安全はブリヂストンの企業経営の基盤であり、安全宣言に
がら、地域や国ごとの課題に取り組んでいます。",20,健康と安全,0.4116
"これらをさらに進化させると共に、AIを イノベーション拠点「Bridgestone Innovation Park — ことから、両社のビジョン実現に向けて、両社の強みをベース
早く、より容易に、より正確に」です。",21,健康と安全,0.3169
"応答性の良いハンドリングによる磨き抜かれた
再生資源・再生可能資源比率を50％に高めた 欧州市場で重視されるWET性能と転がり抵抗を 走行性能。",24,生物および食料資源の汚染,0.3035
"この技術は2024年2月 スポーツを活用し、ENLITEN技術を磨く
寄り添うことにより得られた膨大なタイヤに関する知見、ノウハウ、 に日本で発売したREGNO GR-XIIIに搭載しています。",26,エネルギー,0.3068
"この技術は2024年2月 スポーツを活用し、ENLITEN技術を磨く
寄り添うことにより得られた膨大なタイヤに関する知見、ノウハウ、 に日本で発売したREGNO GR-XIIIに搭載しています。",26,健康と安全,0.318
"「薄く・軽く・ World Solar Challenge（以下、BWSC）において、次世代
ブルなソリューションカンパニーとして社会価値・顧客価値を持 きます。",26,健康と安全,0.3274
「薄く・軽く」創ることで資源生産 させ、高分子複合体の分子構造を素早く解明し、「操る」技術 うになりました。,26,マイクロプラスチック,0.3039
"この工程の自律制御技術によって、薄さと軽さ 「走る実験室」として、モータースポーツタイヤのバリューチェー
性向上や低転がり抵抗を含む環境性能が、「円く」創ることで に繋げていきます。",26,健康と安全,0.3196
"これら「見る」「解く」「操る」技術の進化に と円さを兼ね備えたタイヤの製造を可能にし、製品のユニフォー ン全体でサステナブル化をいち早く推進することへも挑戦して
操縦安定性や乗心地などの運動性能が向上します。",26,健康と安全,0.3666
"再生可能資源を活用したサステナブルな素材の開発を進めて
お客様毎に違う多様なタイヤへのニーズ・ウォンツに対応する 最大発揮させる配合技術と加工プロセスを駆使して強靭な高 います。",26,海洋資源の採取と利用,0.3188
"さら スで投入し、2023年のBWSCにおいては再生資源・再生可
性能にエッジを効かせる商品設計基盤技術です。",26,生物および食料資源の汚染,0.3159
一般的にタ に、「操る」技術の進化により、「強さ」と「しなやかさ」という BCMAでの価値創出の起点は現場でのモノづくりです。,26,健康と安全,0.3209
"ENLITEN技術では、 構造として具現化するダブルネットワークの開発に取り組んで に工場のグリーン＆スマート化を推進することで、モノづくり として共創パートナーと繋がることで、サステナブルなタイヤ
強くしなやかな素材を精度良く組み立て、上手に変形させる います。",26,健康と安全,0.3591
ENLITENとモノづくり基盤技術 BCMAの融合により、究極の の構築をモータースポーツタイヤからいち早く推進していきます。,26,健康と安全,0.3067
"また、天然ゴムの栽培には600万人以上 を軸として、パートナーの皆様との対話を強化し、新 プランプの凝固と採取、病害対策といった天然ゴム 活動のほか、GPSNRの「責任共有フレームワーク」や保証制
が関わっているともいわれ、多くの人々の生計を支えています。",28,生物および食料資源の汚染,0.3016
"また、天然ゴムの栽培には600万人以上 を軸として、パートナーの皆様との対話を強化し、新 プランプの凝固と採取、病害対策といった天然ゴム 活動のほか、GPSNRの「責任共有フレームワーク」や保証制
が関わっているともいわれ、多くの人々の生計を支えています。",28,海洋資源の採取と利用,0.3132
"天然ゴムの大半は東南アジアの小規模農家や大規模農園 模農家をはじめとするサプライチェーン各所で生じる 修を受講すれば、天然ゴム生産の農業生産工程管理
で栽培されています。",28,海洋資源の採取と利用,0.3066
"24MBPにおいては、地産地消率はグローバル
でPS 90%、TB 80%を計画しています。",29,水の汚染,0.3074
"24MBPにおいては、地産地消率はグローバル
でPS 90%、TB 80%を計画しています。",29,生物および食料資源の汚染,0.3595
"24MBPにおいては、地産地消率はグローバル
でPS 90%、TB 80%を計画しています。",29,水の消費と取水,0.3311
"24MBPにおいては、地産地消率はグローバル
でPS 90%、TB 80%を計画しています。",29,海洋資源の使用,0.3381
"24MBPにおいては、地産地消率はグローバル
でPS 90%、TB 80%を計画しています。",29,海洋資源の採取と利用,0.3488
"24MBPにおいては、地産地消率はグローバル
でPS 90%、TB 80%を計画しています。",29,健康と安全,0.3109
"まず、24年に初期トラ 約 1,800 約 4,700 約 1,200 約 900 約 70 拠点
イアルを実施します。",30,ロビー活動,0.3015
"1963年の第1回日本グランプリから始まり、FIA世界選 サステナビリティ価値創造を、サステナブルなグローバルモー
手権における最高峰であるF1®参戦など様々なレースに挑戦しながらグローバルへ拡大し、23年に活動60周年を迎えました。",31,健康と安全,0.3738
"原材料調達からリサイクルまで、まずモータースポー として、27MBPから市場に投入予定のENLITEN 第2世代
盤となりました。",31,海洋資源の採取と利用,0.3075
"ブリヂストンがタイトルスポ
24MBPでは、サステナブルなグローバルモータースポーツ強化と連動し、ブリヂストンをプレミアムブランドから、ブリヂストン／ 進めていきます。",31,健康と安全,0.3015
"ブリヂストンは、 Solar Car Challengeにおいて、第2世代ENLITEN技術
すべての一人ひとりにとっての「最高」を支え続け、モビリティの未来になくてはならない存在となることを目指していきます。",31,エネルギー,0.3171
"ブリヂストンは、 Solar Car Challengeにおいて、第2世代ENLITEN技術
すべての一人ひとりにとっての「最高」を支え続け、モビリティの未来になくてはならない存在となることを目指していきます。",31,健康と安全,0.3459
"モータースポーツタイヤの を搭載したモータースポーツタイヤを25年に投入することを
バリューチェーンにおける取り組み 計画しています。",31,健康と安全,0.3092
"加えて、26–27
「世界を変えていく情熱」 ていくという情熱を表現しています。",31,気候変動への適応,0.3226
"Bridgestone World Solar Challengeは、環境に優しくクリーンな未来を実現し
たいという情熱にあふれた、優秀な若者たちの素晴らしいコラボレーションです。",31,空気の汚染,0.3037
"Bridgestone World Solar Challengeは、環境に優しくクリーンな未来を実現し
たいという情熱にあふれた、優秀な若者たちの素晴らしいコラボレーションです。",31,水の汚染,0.3079
"Bridgestone World Solar Challengeは、環境に優しくクリーンな未来を実現し
たいという情熱にあふれた、優秀な若者たちの素晴らしいコラボレーションです。",31,生物および食料資源の汚染,0.3006
"Bridgestone World Solar Challengeは、環境に優しくクリーンな未来を実現し
たいという情熱にあふれた、優秀な若者たちの素晴らしいコラボレーションです。",31,マイクロプラスチック,0.3025
"Bridgestone World Solar Challengeは、環境に優しくクリーンな未来を実現し
たいという情熱にあふれた、優秀な若者たちの素晴らしいコラボレーションです。",31,健康と安全,0.3432
"24年下 せてカスタマイズし、最適な性能を提供することを可能にして 鉱山事業者の大きな困りごとであるタイヤの熱起因故障を
トケア」プログラムの提供を、欧州Webfleet solutionsに 期にはラストマイル物流へカスタマイズし、耐摩耗性能と、リ います。",34,気候変動への適応,0.3549
徐々に導入を進め、 新たな鉱山ソリューションの挑戦活動として、現物現場で培って の生産性、経済価値の最大化へ貢献していきます。,34,海洋資源の採取と利用,0.3026
"21年より要素技術開発を進め、23 世代タイヤ」であるAirFreeコンセプトを、社会実装を見据えて 市のBridgestone Innovation Park近郊において、公道
気候変動の影響を受けやすいパラゴムノキと異なり、グアユー 年に使用済タイヤのリサイクル熱分解試験を開始しました。",36,気候変動への適応,0.3568
"21年より要素技術開発を進め、23 世代タイヤ」であるAirFreeコンセプトを、社会実装を見据えて 市のBridgestone Innovation Park近郊において、公道
気候変動の影響を受けやすいパラゴムノキと異なり、グアユー 年に使用済タイヤのリサイクル熱分解試験を開始しました。",36,空気の汚染,0.3515
"21年より要素技術開発を進め、23 世代タイヤ」であるAirFreeコンセプトを、社会実装を見据えて 市のBridgestone Innovation Park近郊において、公道
気候変動の影響を受けやすいパラゴムノキと異なり、グアユー 年に使用済タイヤのリサイクル熱分解試験を開始しました。",36,健康と安全,0.332
"21年より要素技術開発を進め、23 世代タイヤ」であるAirFreeコンセプトを、社会実装を見据えて 市のBridgestone Innovation Park近郊において、公道
気候変動の影響を受けやすいパラゴムノキと異なり、グアユー 年に使用済タイヤのリサイクル熱分解試験を開始しました。",36,プライバシー,0.3012
"加え 材の活用などサステナビリティを重視しながら、ブリヂストン 高齢化・地方の過疎化・労働力不足による移動の制限といった
ることが出来ます。",36,障害者の雇用,0.3305
"本プロジェクトを通じて、月面という人類 いう新しい挑戦の場において、人とモノの安心・安全な移動を ルエルシーより、米国モバイルサービスプロバイダー「Cline
が活動する新たな「極限」の環境に挑戦することで、モビリティ 足元で支えていられるように、技術開発を推進しています。",37,健康と安全,0.374
"Hose & Hydraulics, LLC（. 以下Cline社）」を買収しました。",37,水の汚染,0.3412
"Hose & Hydraulics, LLC（. 以下Cline社）」を買収しました。",37,水の消費と取水,0.4239
"Hose & Hydraulics, LLC（. 以下Cline社）」を買収しました。",37,海洋資源の採取と利用,0.3416
"Hose & Hydraulics, LLC（. 以下Cline社）」を買収しました。",37,健康と安全,0.3422
"＊ 自然を回復軌道に乗せるため、生物多様性・自然資本の損失を止め、反転させることを意味しており､事業活動による生物多様性・自然資本への負荷を低減し､自然の恵みを維持し回復させ､自然資本
を持続可能に利用する社会経済活動への変革が意図されています。",38,気候変動への適応,0.3215
"＊ 自然を回復軌道に乗せるため、生物多様性・自然資本の損失を止め、反転させることを意味しており､事業活動による生物多様性・自然資本への負荷を低減し､自然の恵みを維持し回復させ､自然資本
を持続可能に利用する社会経済活動への変革が意図されています。",38,気候変動の緩和,0.3114
"＊ 自然を回復軌道に乗せるため、生物多様性・自然資本の損失を止め、反転させることを意味しており､事業活動による生物多様性・自然資本への負荷を低減し､自然の恵みを維持し回復させ､自然資本
を持続可能に利用する社会経済活動への変革が意図されています。",38,水の汚染,0.3
"＊ 自然を回復軌道に乗せるため、生物多様性・自然資本の損失を止め、反転させることを意味しており､事業活動による生物多様性・自然資本への負荷を低減し､自然の恵みを維持し回復させ､自然資本
を持続可能に利用する社会経済活動への変革が意図されています。",38,生物および食料資源の汚染,0.4264
"＊ 自然を回復軌道に乗せるため、生物多様性・自然資本の損失を止め、反転させることを意味しており､事業活動による生物多様性・自然資本への負荷を低減し､自然の恵みを維持し回復させ､自然資本
を持続可能に利用する社会経済活動への変革が意図されています。",38,水の消費と取水,0.3092
"＊ 自然を回復軌道に乗せるため、生物多様性・自然資本の損失を止め、反転させることを意味しており､事業活動による生物多様性・自然資本への負荷を低減し､自然の恵みを維持し回復させ､自然資本
を持続可能に利用する社会経済活動への変革が意図されています。",38,海洋資源の使用,0.3268
"＊ 自然を回復軌道に乗せるため、生物多様性・自然資本の損失を止め、反転させることを意味しており､事業活動による生物多様性・自然資本への負荷を低減し､自然の恵みを維持し回復させ､自然資本
を持続可能に利用する社会経済活動への変革が意図されています。",38,海洋資源の採取と利用,0.3562
"＊ 自然を回復軌道に乗せるため、生物多様性・自然資本の損失を止め、反転させることを意味しており､事業活動による生物多様性・自然資本への負荷を低減し､自然の恵みを維持し回復させ､自然資本
を持続可能に利用する社会経済活動への変革が意図されています。",38,生物多様性の損失,0.4116
"＊ 自然を回復軌道に乗せるため、生物多様性・自然資本の損失を止め、反転させることを意味しており､事業活動による生物多様性・自然資本への負荷を低減し､自然の恵みを維持し回復させ､自然資本
を持続可能に利用する社会経済活動への変革が意図されています。",38,循環経済,0.3558
こう 90% 術や病害対策に有効なノウハウを活用し、2026年までに累 事業、成長事業、探索事業の価値創造と連動しています。,39,健康と安全,0.3141
"負荷の低減、資源の効率的な利用、気候変動の緩和への取り組みな
リトレッドにおいては、TBリトレッド比率を2026年に約50％ ネイチャーポジティブに向けた取り組み どが評価されました。",39,気候変動への適応,0.3688
"負荷の低減、資源の効率的な利用、気候変動の緩和への取り組みな
リトレッドにおいては、TBリトレッド比率を2026年に約50％ ネイチャーポジティブに向けた取り組み どが評価されました。",39,気候変動の緩和,0.3408
